fname_std,bni_root,n_fname_root
ELHANNEN,0,1
ELHANNON,0,2
ELHANON,0,1
ELHARDT,0,1
ELHART,0.723069334627254,5
ELHOMON,1,1
ELHUE,0.969071029103385,4
ELHUES,1,1
ELHURA,0,1
ELI,0.58310434196327,1414
ELIA,0.286577617699591,216
ELIAB,1,1
ELIABBETH,0,1
ELIACIM,0,1
ELIADA,0,2
ELIADES,0,2
ELIAE,0,1
ELIAH,0,1
ELIAHOO,0,1
ELIAHOU,0,2
ELIAHOV,0,1
ELIAHU,0,6
ELIAKIM,0,2
ELIAN,0.776852934649573,4
ELIANA,0.465337105905293,13
ELIANCINE,1,1
ELIANE,0.610380597890894,23
ELIANNE,0,6
ELIANO,1,1
ELIANOR,0,2
ELIANORA,0,2
ELIANORD,0,1
ELIANORE,0,1
ELIANTE,1,1
ELIARD,0,1
ELIAS,0.513476363959427,1046
ELIASE,1,1
ELIASON,1,1
ELIASZ,0,4
ELIAZABETH,0,2
ELIAZAR,0,3
ELIAZBETH,0,9
ELIAZER,0,1
ELIBABETH,0,1
ELIBARTUS,0,1
ELIBBIE,1,1
ELIBE,0,1
ELIBEE,1,1
ELIBERTA,0,2
ELIBERTHA,0,1
ELIBERTO,0,4
ELIBIETA,0,1
ELIBORIO,0,3
ELIBRETA,0,1
ELIBY,0.91261833712601,2
ELIC,0.537133435142353,10
ELICA,0,1
ELICABETH,0,1
ELICE,0.793721177649475,26
ELICENDO,0,1
ELICEO,0,7
ELICERIO,0,1
ELICES,0,1
ELICIEO,0,1
ELICIO,0,1
ELICK,0.786604517407961,23
ELIDA,0.345118270549424,229
ELIDABETH,0,1
ELIDE,0,24
ELIDEE,1,1
ELIDES,0,1
ELIDGE,1,1
ELIDIA,0,34
ELIDIO,0,6
ELIDO,0,2
ELIDORA,0,2
ELIDUVINA,0,1
ELIECER,0,6
ELIEDA,0,2
ELIEDIA,0,1
ELIEEN,0,2
ELIEENE,0,1
ELIEFA,0,1
ELIEHUE,1,1
ELIEL,0,3
ELIELEAN,1,1
ELIEM,0,1
ELIEN,0,2
ELIENE,0,27
ELIENNE,0.839280602464756,3
ELIER,0.676250695837957,6
ELIERCE,0,1
ELIES,0.776852934649573,4
ELIESA,0,1
ELIESER,0,6
ELIET,0,1
ELIETH,0,2
ELIETHIA,0,1
ELIETTE,0,4
ELIEZAR,0,2
ELIEZER,0,24
ELIFAS,0,2
ELIFONSA,0,1
ELIFONSO,0,1
ELIG,0,1
ELIGAN,1,1
ELIGARDO,0,1
ELIGATH,0,1
ELIGE,0.86488661265571,50
ELIGEN,0,1
ELIGER,0.963113407791441,7
ELIGGIO,0,2
ELIGH,0.948124937252921,11
ELIGHES,1,1
ELIGHTE,1,1
ELIGHU,1,1
ELIGIA,0.598717009722856,16
ELIGIAH,0.976622511411492,5
ELIGIE,0.839280602464756,9
ELIGIH,1,1
ELIGIN,0,1
ELIGIO,0.44012444083744,100
ELIGIRES,0,1
ELIGIUS,0,4
ELIGIUSZ,0,1
ELIGYA,0,1
ELIH,0,1
ELIHAH,1,1
ELIHLI,1,1
ELIHU,0.846517398544392,136
ELIHUGH,0.91261833712601,2
ELIIABETH,0,1
ELIIDA,0,1
ELIIIZABET,0,1
ELIINA,0,1
ELIJ,1,2
ELIJACH,0,1
ELIJAH,0.941016951375117,1696
ELIJH,1,1
ELIJHA,1,1
ELIJIA,1,1
ELIJIO,0,12
ELIJZABETH,0,1
ELIK,0,8
ELIKIAM,0,1
ELILA,0,4
ELILAH,0,1
ELILEE,0,1
ELILENE,0,1
ELILIA,0,1
ELILIE,0,1
ELILIETTE,0,1
ELILLIAN,1,1
ELIM,0.723069334627254,5
ELIMA,0.91261833712601,2
ELIME,0,1
ELIMELECH,0,3
ELIMENES,1,1
ELIMINA,0,2
ELIMOR,0,1
ELIMOUS,1,1
ELIN,0,1
ELINAR,0,1
ELINAS,0,1
ELINAZ,0,1
ELINCE,0,1
ELINDA,0,9
ELINDIA,0,1
ELINDOR,0,1
ELINDRA,0,1
ELINER,0.616384481721839,15
ELINGTON,0,1
ELINIA,1,1
ELINOR,1,1
ELINORE,0,1
ELINORGRA,0,1
ELINOS,0,1
ELINUS,0,1
ELINZIA,1,1
ELIO,0.108291271317415,174
ELIOCA,0,1
ELIODORA,0.465337105905293,13
ELIODORE,0,2
ELIODORO,0.343057152555242,21
ELIOKUM,0,1
ELIOLA,0,1
ELION,0,2
ELIONAY,0,1
ELIONEL,0,1
ELIONORA,0,4
ELIOPOLDO,0,1
ELIOR,0,1
ELIOSA,0,1
ELIOSE,0,2
ELIOT,1,1
ELIOTH,0,1
ELIOTILDE,1,1
ELIOUS,0.954313068541791,3
ELIOUSE,0.91261833712601,2
ELIOUT,1,1
ELIOZ,0,1
ELIPHAZ,0,1
ELIPHELET,0,3
ELIPIO,0,2
ELIQUE,0,1
ELIRIA,0,5
ELIRONNE,1,1
ELIS,0.622507650827074,22
ELISA,0,1
ELISABE,0,1
ELISABETA,0,21
ELISABETE,0,1
ELISABETH,0,8
ELISABETHE,0,2
ELISABETTA,0.20704223629939,41
ELISABETTO,0,1
ELISABITTA,0,1
ELISAIDA,0,2
ELISAMA,0,1
ELISANDRO,0,4
ELISAR,0,1
ELISARDO,0,6
ELISARIA,0,3
ELISARIO,0,1
ELISAUET,0,1
ELISAVET,0,8
ELISAVETA,0,8
ELISBTH,0,1
ELISC,0,1
ELISE,1,2
ELISE-ELEN,1,1
ELISE-L,0,1
ELISEA,0,5
ELISEBONNE,1,1
ELISEE,0,5
ELISELDA,0,1
ELISELOTTE,0,1
ELISEMENE,1,1
ELISENA,0,3
ELISENDA,0,1
ELISEO,0.172788700845579,153
ELISER,0,1
ELISERIA,0,1
ELISETTA,0,2
ELISEU,0,2
ELISEY,0,1
ELISHA,0.900975356686637,305
ELISHANN,1,1
ELISHEH,0,1
ELISHER,1,3
ELISHEY,1,1
ELISHIE,1,2
ELISHO,0,2
ELISHOUS,1,1
ELISI,0,1
ELISIA,0.510860095421192,11
ELISIE,0,1
ELISIO,0,5
ELISIS,1,1
ELISITA,0,1
ELISKA,0.698876783058993,22
ELISON,0.839280602464756,3
ELISONDO,0,1
ELISSE,0,1
ELISSER,1,1
ELISSIA,1,1
ELISTA,0.91261833712601,2
ELISTEN,1,1
ELISTER,1,2
ELISTINE,1,1
ELISTON,1,2
ELISZY,1,1
ELITA,0.445488268654935,28
ELITAN,1,1
ELITE,0.723069334627254,5
ELITHE,0,3
ELITHEALE,0,1
ELITHER,0,1
ELITHOR,0,1
ELITIA,0,1
ELITICIA,0,1
ELITO,0,1
ELITUDE,1,1
ELIU,0,2
ELIUCIPA,0,1
ELIUD,0,5
ELIUS,0,1
ELIUTT,0,1
ELIVA,1,2
ELIVAVETA,0,1
ELIVD,0,2
ELIVE,0,2
ELIVERA,0,1
ELIVERIO,0,1
ELIVERTA,0,1
ELIVIA,0,3
ELIVIO,0,2
ELIVIRA,0,1
ELIVRA,0.839280602464756,3
ELIVS,0,1
ELIX,0.676250695837957,6
ELIXA,1,1
ELIXABETH,0,1
ELIXABETHA,0,1
ELIXIOUS,1,1
ELIY,0,1
ELIYAHU,0,2
ELIZA,0.91261833712601,6
ELIZAANNET,0,1
ELIZABAETH,0,1
ELIZABE,0.91261833712601,6
ELIZABEH,0,4
ELIZABEHT,0.723069334627254,5
ELIZABELLE,0,1
ELIZABERH,0,1
ELIZABERTH,0,1
ELIZABESS,0,1
ELIZABEST,1,1
ELIZABETA,0,6
ELIZABETE,0,4
ELIZABETH,0.507861339933517,193367
ELIZABETHA,0,1
ELIZABETHD,0,2
ELIZABETHE,0.776852934649573,4
ELIZABETHH,0,1
ELIZABETHK,0,1
ELIZABETHL,0,1
ELIZABETHM,0,2
ELIZABETHQ,0,2
ELIZABETHW,0,1
ELIZABETK,0,1
ELIZABETTA,0,2
ELIZABHTH,0,1
ELIZABNETH,0,1
ELIZABRTH,0.91261833712601,2
ELIZABTEH,0,1
ELIZADA,1,1
ELIZAETH,0,7
ELIZAGETH,0,1
ELIZAH,1,8
ELIZAHBET,0,1
ELIZAIDA,0,5
ELIZAJANE,0,2
ELIZALOU,0,1
ELIZAMAE,0,1
ELIZAN,1,3
ELIZANDRA,0,2
ELIZANDRO,0,1
ELIZANE,1,2
ELIZANNA,1,1
ELIZANNE,0,1
ELIZANOLA,0,1
ELIZAR,0,4
ELIZARDA,0,1
ELIZARDO,0,14
ELIZARIO,0,1
ELIZATETH,0,1
ELIZAVET,0,1
ELIZAVETA,0,35
ELIZAVIETA,0,1
ELIZBAETH,0,2
ELIZBEATH,0,1
ELIZBET,0,1
ELIZBIETA,0,2
ELIZE,0.91261833712601,2
ELIZEABITH,1,1
ELIZEBET,0,1
ELIZEBETHA,0,1
ELIZEE,0,1
ELIZENDA,0,1
ELIZETTA,1,1
ELIZEVETA,0,1
ELIZHA,1,1
ELIZIAH,1,1
ELIZIARO,0,1
ELIZIBIT,0,1
ELIZIE,0.91261833712601,2
ELIZIER,1,1
ELIZIO,0,1
ELIZLE,1,1
ELIZOND,1,1
ELIZOVITA,0,1
ELIZQBETH,0,1
ELIZZ,1,1
ELIZZER,1,1
ELIZZIA,1,1
ELIZZY,0,1
ELJANE,1,1
ELJAY,1,1
ELJEAN,0,1
ELJINA,0,1
ELJOSEPH,0,1
ELJURY,1,1
ELK,0,1
ELKA,0.150395157581469,60
ELKAN,0.723069334627254,5
ELKANA,0,1
ELKANAH,0.933000112447838,7
ELKANAN,0,1
ELKHANON,0,1
ELKIE,0.91261833712601,2
ELKIN,0.723069334627254,15
ELKINS,0.91261833712601,8
ELKIS,0,1
ELKNAH,0,2
ELKO,0,1
ELKTON,1,1
ELKUNA,0,1
ELKY,0,1
ELL,0.918350263779569,27
ELLA,0.723377441360709,17858
ELLA-GAYLE,0,1
ELLAA,0,1
ELLABAY,0,1
ELLABEL,0,2
ELLABELL,0.839280602464756,6
ELLABELLE,0.427263453475905,15
ELLABERTHA,0,1
ELLABETH,0,2
ELLABRENCE,0,1
ELLACILLE,0,1
ELLADA,0,1
ELLADE,0,4
ELLADEAN,0,3
ELLADEE,0,1
ELLADENE,0,2
ELLADGE,0,1
ELLADORA,0,2
ELLAEISE,0,1
ELLAFAIR,0.776852934649573,4
ELLAFARE,1,1
ELLAFERN,0,2
ELLAGEANE,0,1
ELLAGENE,0,7
ELLAGONDA,0,1
ELLAGWEN,0,1
ELLAHART,0,1
ELLAIE,0,1
ELLAIN,1,1
ELLAINA,0,1
ELLAINE,0,5
ELLAIRE,0,1
ELLAJA,1,1
ELLAJANE,0,3
ELLAJEAN,0,4
ELLALE,0,1
ELLALEE,0,3
ELLALEEN,1,1
ELLALEIGH,0,1
ELLALENE,0,1
ELLALINE,0.839280602464756,6
ELLALISA,0,1
ELLALOUISE,0,1
ELLAMAE,0.541777335404509,118
ELLAMAIRE,0,1
ELLAMANDA,1,1
ELLAMARI,0,1
ELLAMARIE,0,7
ELLAMARJOR,0,1
ELLAMARY,0,1
ELLAMAY,0.687377596770508,23
ELLAMAYE,0,3
ELLAMENA,0,1
ELLAMETA,0.91261833712601,2
ELLAMIRL,0,1
ELLAMOTE,0,1
ELLAMYRAE,0,1
ELLAN,0,1
ELLANAE,0,1
ELLANEASE,1,1
ELLANEE,0,1
ELLANESE,1,1
ELLANETA,1,1
ELLANETTE,0.839280602464756,3
ELLANEY,0,1
ELLANEZ,1,1
ELLANIE,0,1
ELLANITA,0.91261833712601,2
ELLANN,0,1
ELLANNA,0,1
ELLANORE,0,14
ELLAOISE,0,2
ELLAOUISE,0,2
ELLAPHAIR,0,1
ELLAPHEA,1,1
ELLAPHENE,1,1
ELLAPHINE,0,2
ELLAR,0.88294406012656,31
ELLARAE,0.91261833712601,2
ELLARAY,0,1
ELLARD,0.410471178804741,32
ELLARE,0.91261833712601,2
ELLAREA,0.723069334627254,5
ELLAREAN,0,1
ELLAREANA,0,1
ELLAREE,0.625615083822735,29
ELLAREITA,0,1
ELLARENE,0.954313068541791,3
ELLARETA,0,1
ELLARIE,1,2
ELLARINE,0.91261833712601,2
ELLARITA,0,1
ELLARIZ,1,1
ELLARO,0,1
ELLARONA,0,1
ELLAROSE,0,7
ELLARSTEA,1,1
ELLARUE,1,1
ELLARUTH,0,3
ELLARY,0,2
ELLAS,0,2
ELLASE,0,1
ELLASTEEN,1,1
ELLASUE,0,2
ELLATEE,0,1
ELLATHA,1,1
ELLAURA,0,1
ELLAV,0.91261833712601,2
ELLAVAY,0,1
ELLAVEA,0,1
ELLAVENE,0,3
ELLAVENIA,1,1
ELLAVERA,0,2
ELLAVESSE,1,1
ELLAVIE,0,1
ELLAVIEVE,0,1
ELLAVINE,0,1
ELLAWAYNE,0,1
ELLAWEASE,1,1
ELLAWEE,0,5
ELLAWEEN,0,2
ELLAWEENE,1,1
ELLAWEESE,1,1
ELLAWEISE,1,2
ELLAWES,0,1
ELLAWESE,0.969071029103385,4
ELLAZEAN,0,1
ELLAZENA,0,1
ELLAZENE,0,2
ELLAZINE,0,2
ELLAZORA,0,1
ELLBERDA,0,1
ELLBURTA,0,1
ELLDIE,0,1
ELLDINA,0,1
ELLDORA,0,1
ELLDRETH,0,1
ELLE,0.385236926456435,53
ELLEAICE,1,1
ELLEAN,0.850673919112988,17
ELLEANER,0,1
ELLEANORA,0.635126352878105,7
ELLEANORE,0,6
ELLEAR,1,1
ELLEARD,0,1
ELLEARN,1,1
ELLEASE,1,4
ELLEATHER,1,1
ELLEAVE,1,1
ELLEAZER,1,1
ELLECIA,1,2
ELLEDA,0.723069334627254,5
ELLEE,0.976622511411492,5
ELLEEN,0.220134009171417,38
ELLEENE,0,2
ELLEGE,0,1
ELLEIN,0,2
ELLEINE,0,6
ELLELAR,0,1
ELLELIA,0,1
ELLEM,0,1
ELLEMINA,0,1
ELLEN,0.435752271541993,16470
ELLENAH,0,1
ELLENDALE,0.91261833712601,2
ELLENDEAN,0,1
ELLENDEL,0,1
ELLENDER,0.445488268654935,14
ELLENE,0.502664322791675,102
ELLENEER,0,1
ELLENERE,0,1
ELLENETTA,0,2
ELLENETTE,0,1
ELLENFERNE,0,1
ELLENI,0,1
ELLENISE,0,1
ELLENJANE,0,3
ELLENJUNE,0,1
ELLENLOUIS,0,1
ELLENMAE,0,1
ELLENMARI,0,2
ELLENMARIE,0,2
ELLENMARY,0,2
ELLENMAY,0,1
ELLENNITA,0,1
ELLENOR,0,1
ELLENOUR,0,1
ELLENROSAN,0,1
ELLENROSE,0,1
ELLENSTEIN,1,1
ELLENSTINE,1,1
ELLENT,0,1
ELLENTINE,0,1
ELLENWOOD,0,1
ELLEONORA,0,1
ELLER,0.871980927300964,38
ELLERA,0,1
ELLERBE,0,5
ELLERBEE,0,2
ELLERD,0,4
ELLEREA,0,1
ELLEREE,1,2
ELLERENE,0,1
ELLERIA,1,1
ELLERIE,0.776852934649573,4
ELLERIETTA,0,1
ELLERINE,0.874414443087022,5
ELLERN,1,1
ELLEROY,0,1
ELLERREE,0,1
ELLERSLIE,0,2
ELLERSON,0,3
ELLERT,0.487037164217999,12
ELLERTON,0,2
ELLERWEEN,1,1
ELLERWESE,1,1
ELLERY,0.177185803814534,99
ELLES,0.776852934649573,4
ELLESE,0.91261833712601,4
ELLESIA,0,1
ELLESIV,0,1
ELLESON,0,2
ELLESTENE,1,1
ELLESTINE,0.91261833712601,4
ELLESTON,0,1
ELLESTYNE,1,1
ELLESWORTH,0,1
ELLETA,0.723069334627254,5
ELLETHA,0,2
ELLETHEIR,0,1
ELLETINA,1,1
ELLETT,0.676250695837957,6
ELLEVA,0,2
ELLEVIRA,0,1
ELLEX,1,1
ELLEY,0.976622511411492,5
ELLEYNE,0,1
ELLEZE,0,1
ELLI,0.151485862004494,119
ELLIA,1,1
ELLIAN,0.954313068541791,3
ELLIANE,0,1
ELLIBER,1,1
ELLIC,0,3
ELLICE,0.4759399147484,25
ELLICK,1,1
ELLICOTT,0,1
ELLID,0,1
ELLIDA,0,10
ELLIDEAN,0,1
ELLIDGE,1,1
ELLIE,0.850301566618808,88
ELLIEAN,0,1
ELLIED,0,1
ELLIEENE,0,1
ELLIEN,0,3
ELLIENE,0,3
ELLIENORA,0,1
ELLIENORE,0,1
ELLIEREE,0,1
ELLIETTE,0,1
ELLIEVE,0,1
ELLIFAIR,0,1
ELLIHUE,0.939997862569105,5
ELLIJAY,0,3
ELLILSON,0,1
ELLILU,0,1
ELLINE,0.537133435142353,10
ELLING,0,7
ELLINGER,0,1
ELLINGTON,0.566255752356127,9
ELLINOISE,1,1
ELLINORA,1,1
ELLINORE,0,4
ELLINOY,0,1
ELLIO,0,2
ELLION,0,1
ELLIOT,0.678563162698522,904
ELLIOTE,1,1
ELLIOTT,0.47146391081193,305
ELLIOTTE,0.806861047117895,14
ELLIOTTT,1,1
ELLIOUS,1,2
ELLIOUSE,0,1
ELLIRENE,0,1
ELLIS,0.675701512838954,2874
ELLISE,0.806861047117895,7
ELLISEARL,0,1
ELLISENE,0,1
ELLISIO,0,1
ELLISON,0.747830971741357,104
ELLISS,1,1
ELLISTINE,0.954313068541791,3
ELLISTON,0,1
ELLISWORT,0,1
ELLITA,0,1
ELLITT,1,1
ELLIVE,0,1
ELLIZIE,1,1
ELLJEAN,0,1
ELLLA,0,2
ELLLYN,0,1
ELLMA,0,3
ELLMAE,0,2
ELLMAN,0,3
ELLMARIAM,0,1
ELLMAS,0,1
ELLMEAR,0,1
ELLMON,0,1
ELLMONA,0,1
ELLMORE,0,4
ELLNA,0,11
ELLNAR,1,1
ELLNER,0,4
ELLNO,0,1
ELLNOR,0,2
ELLNORE,0,2
ELLNORR,0,1
ELLO,0.91261833712601,2
ELLOA,0,1
ELLOAR,0,1
ELLODIA,0,1
ELLOE,0,1
ELLOGEANE,0,1
ELLOIE,0,2
ELLOINE,0,4
ELLOIS,0,3
ELLOISE,0.427263453475905,15
ELLOITT,1,1
ELLON,0.402560478656665,33
ELLONA,0,3
ELLONETTE,0,1
ELLONIA,0,1
ELLORA,0,12
ELLOREA,0,1
ELLOREE,0.862380823532094,8
ELLORENE,1,1
ELLORIA,0,1
ELLORIE,0,1
ELLORINE,0.91261833712601,2
ELLORIS,0,1
ELLORRA,1,1
ELLORY,0,1
ELLOT,0,1
ELLOTENA,0,1
ELLOU,1,1
ELLOUISE,0.693522024519435,73
ELLOUISES,0,1
ELLOWE,0,1
ELLOWEASE,1,1
ELLOWEE,0,1
ELLOWEEN,0,6
ELLOWEIN,0,1
ELLOWEN,0,1
ELLOWENE,0,4
ELLOWESE,0,1
ELLOWEZE,1,1
ELLOWMAE,0,1
ELLOWYESE,1,1
ELLOWYN,0,2
ELLOYCE,0,2
ELLOYD,0,6
ELLOYED,0,1
ELLRENA,0,1
ELLRENE,0,1
ELLRETTA,1,1
ELLREY,0,1
ELLRIA,1,1
ELLRORY,0,1
ELLROY,0,6
ELLRY,0,1
ELLS,0,3
ELLSA,0,1
ELLSBERRY,0,1
ELLSBURY,0,1
ELLSENA,0,1
ELLSIE,0,1
ELLSMORE,0,2
ELLSON,0,2
ELLSORTH,0,1
ELLSTON,0,2
ELLSWERTH,0,1
ELLSWORT,0,1
ELLSWORTH,0.403909748078279,1231
ELLSWYN,0,1
ELLUARD,1,1
ELLUDE,1,1
ELLULA,0,1
ELLURA,0,1
ELLURD,0,1
ELLUS,0,3
ELLUSH,0,1
ELLVAN,0,1
ELLVEN,1,1
ELLVYNN,0,1
ELLWARD,0,1
ELLWEN,0,1
ELLWIN,0,4
ELLWOOD,0,1
ELLWORTH,0,1
ELLWSORTH,0,1
ELLWYN,0,15
ELLY,0.874414443087022,5
ELLYA,0,1
ELLYANNA,0,1
ELLYCE,0,3
ELLYE,0,1
ELLYN,0.303217799619631,50
ELLYNE,0,9
ELLYNNE,0,1
ELLYNOR,0,3
ELLYNORE,0.91261833712601,2
ELLYS,0,2
ELLZ,0,1
ELLZE,0,1
ELLZEE,1,1
ELLZEY,0.723069334627254,5
ELM,1,1
ELMADA,1,1
ELMADEL,0,1
ELMAE,0.806861047117895,14
ELMAFAYE,0,1
ELMAGEAN,0,1
ELMAGENE,1,1
ELMAH,0,1
ELMAIRE,1,1
ELMALEA,0,1
ELMALEE,0,1
ELMAN,0.332147070443851,44
ELMANDA,0,1
ELMANDO,1,1
ELMANORA,0,1
ELMAR,0.95036585946166,17
ELMARD,1,1
ELMAREA,0,1
ELMAREE,0.939997862569105,5
ELMARENE,0.776852934649573,4
ELMARIA,1,2
ELMARIE,0.813143030858833,17
ELMARINA,0,2
ELMARINE,0,5
ELMARIS,0,1
ELMARITA,0,1
ELMARRINE,0,1
ELMARS,0,7
ELMART,0,1
ELMARY,0.91261833712601,2
ELMAS,0.427263453475905,15
ELMASE,1,1
ELMATA,0,1
ELMATER,1,1
ELMATINA,0,1
ELMAURA,0,1
ELMAV,0,1
ELMAVEN,1,1
ELMAWHAL,0,1
ELMAY,0,3
ELMAYA,0,1
ELMAYE,0,1
ELMAZ,0,1
ELMAZA,0,1
ELMAZINE,1,1
ELME,0.465337105905293,13
ELMEAD,0.91261833712601,2
ELMEADA,1,1
ELMEADY,0,2
ELMEANA,1,1
ELMEAR,0,1
ELMEASE,0,1
ELMEATH,0,1
ELMEATY,1,1
ELMEDA,0.546502235604625,29
ELMEDAR,1,1
ELMEDIA,0.723069334627254,5
ELMEE,0,2
ELMELENE,0,1
ELMEN,0,5
ELMENA,0.776852934649573,16
ELMENER,1,1
ELMENIA,0,1
ELMENIE,0,1
ELMER,0.283384726425929,19626
ELMERA,0.723069334627254,5
ELMERADO,0,1
ELMERAY,0,1
ELMERC,0,1
ELMERE,0.676250695837957,12
ELMEREE,0.776852934649573,4
ELMERENE,0,2
ELMERETTA,0,1
ELMERIA,0,1
ELMERICO,0,2
ELMERIDA,0,1
ELMERIE,0.839280602464756,3
ELMERINA,0,1
ELMERINDA,0,3
ELMERINDO,0,1
ELMERINE,0.806861047117895,7
ELMERISE,0,1
ELMERITA,0,2
ELMERL,0,1
ELMERLE,0,1
ELMERLINE,0,1
ELMERNA,0,2
ELMERO,0.91261833712601,2
ELMERREE,1,2
ELMERRHEA,0,1
ELMERRINDA,0,1
ELMERS,0,1
ELMERT,0,2
ELMERTA,0,2
ELMERTEE,1,1
ELMERTHA,1,1
ELMES,0,3
ELMESE,0.776852934649573,4
ELMETA,0.813143030858833,17
ELMETER,1,2
ELMETH,0,1
ELMETHA,1,1
ELMETHER,1,1
ELMETRA,1,1
ELMETTA,0,6
ELMETTER,1,1
ELMETTIE,1,1
ELMI,0,12
ELMIA,0,1
ELMIAS,1,1
ELMICIA,1,1
ELMIDA,0,2
ELMIE,0,11
ELMILRIA,1,1
ELMIN,0.91261833712601,2
ELMINA,0.625122375637043,138
ELMINAR,1,1
ELMINDA,0,1
ELMINE,0,2
ELMINER,1,2
ELMINIA,0,3
ELMINIEA,0,1
ELMIR,0,2
ELMIRA,0,1
ELMIRALDA,0,1
ELMIREA,0,1
ELMIRIA,1,2
ELMIRNA,0,1
ELMIRO,0,2
ELMIRON,0,1
ELMIS,0,3
ELMITA,0.91261833712601,2
ELMO,0.647636646447468,1704
ELMODIST,1,1
ELMOE,0.91261833712601,2
ELMOHR,0,1
ELMOIN,0,1
ELMOINE,0,1
ELMOLEE,0,1
ELMOLIA,1,1
ELMOLIE,0,1
ELMON,0.734809211777615,62
ELMONA,0,1
ELMOND,0.745179666874003,32
ELMONE,0,1
ELMONIA,0.954313068541791,3
ELMONT,0,16
ELMONZO,1,1
ELMOORE,0,2
ELMOR,0.954313068541791,3
ELMORA,0.723069334627254,5
ELMORE,0.847796688275507,437
ELMORIA,1,3
ELMORIE,0.839280602464756,3
ELMORINE,0,1
ELMOS,0.91261833712601,2
ELMOSES,1,2
ELMOUR,0,1
ELMOUS,0,5
ELMOZINE,1,1
ELMRA,1,1
ELMRIS,0,1
ELMSTAT,0,1
ELMUND,0,1
ELMUNDO,0,1
ELMURY,1,1
ELMUS,0.74602456566664,41
ELMUST,1,1
ELMY,0,5
ELMYNA,0,1
ELMYR,0,3
ELMYRE,0.776852934649573,4
ELMYRIA,0.954313068541791,3
ELMYRIE,1,1
ELMYRTLE,0,1
ELMYRUTH,0,1
ELNA,0,2
ELNADER,1,1
ELNAH,0,3
ELNAINE,0,1
ELNAR,0.91261833712601,2
ELNARD,0,1
ELNATHAN,0.91261833712601,6
ELNATOR,1,1
ELNEASE,1,1
ELNEATER,1,1
ELNEATTA,0,1
ELNEDA,0.723069334627254,5
ELNEIDA,0,1
ELNEITA,0.91261833712601,6
ELNEITTA,1,1
ELNER,0.77990615869451,75
ELNERA,1,1
ELNERE,0,1
ELNES,0,2
ELNETA,0.791572694974157,15
ELNETER,1,2
ELNETH,0,1
ELNETTA,0.776852934649573,4
ELNEUS,1,1
ELNIE,0,1
ELNIOR,0,2
ELNIRA,0,1
ELNITA,0.748996859458755,18
ELNKO,0,1
ELNO,0.731510066689554,29
ELNOIR,0,2
ELNOLA,0.91261833712601,2
ELNONA,0,2
ELNONIA,1,1
ELNOPHUS,1,1
ELNOR,0.874414443087022,5
ELNORA,1,2
ELNORE,0,1
ELNORIA,0.983383996161014,20
ELNORIAN,0,1
ELNORISE,1,1
ELNORIST,1,1
ELNORQ,1,1
ELNORR,0,1
ELNORRA,1,1
ELNUKHIM,0,1
ELNURDA,0,1
ELNUS,1,1
ELNY,0,1
ELNYR,0,1
ELNYTH,0,1
ELO,0.558683078248432,37
ELOA,0,1
ELOAH,0,1
ELOBY,0,1
ELOCIA,0,1
ELOCILE,0,1
ELOCK,1,1
ELOCTIO,0,1
ELOD,0,2
ELODA,0,9
ELODE,0.954313068541791,3
ELODEA,0,2
ELODEE,0,2
ELODENE,0,1
ELODER,1,1
ELODESE,0,1
ELODI,0,1
ELODIA,0.26146695175187,122
ELODIANE,0,1
ELODIE,0.616384481721839,105
ELODINA,0,2
ELODINE,0,1
ELODIO,0,1
ELODIOUS,0,1
ELODY,0,2
ELOEISE,1,1
ELOENE,0,1
ELOF,0,23
ELOGEANNE,0,1
ELOGRACIA,0,1
ELOH,0,1
ELOI,0.303217799619631,25
ELOICE,0,4
ELOID,1,1
ELOIDA,0,2
ELOIDE,0,2
ELOIDORO,0,1
ELOIE,0.723069334627254,5
ELOINA,0.119436929107019,78
ELOINE,0.380557867965008,18
ELOIS,0.651898575432514,171
ELOISA,0.185691622330165,468
ELOISACALB,0,1
ELOISE,0.700502096704276,5438
ELOISEDORA,0,1
ELOISES,0,1
ELOISIA,1,1
ELOISIO,0,1
ELOISO,0,3
ELOIT,0,1
ELOITA,0,1
ELOITTE,0,2
ELOIUSE,0,1
ELOIZA,0.635126352878105,7
ELOIZE,0,2
ELOLA,0.91261833712601,2
ELOM,0.839280602464756,3
ELOMA,0,1
ELON,0.505910871512848,56
ELONA,0.317023834950234,47
ELONARA,0,1
ELONDA,0,1
ELONE,0.839280602464756,6
ELONEY,1,1
ELONG,1,1
ELONIA,0.91261833712601,8
ELONIE,0.91261833712601,2
ELONIOUS,1,1
ELONNIE,0,1
ELONOR,0,1
ELONORE,0,3
ELONSO,0,1
ELONTINA,0,1
ELONZIA,0,1
ELONZIE,1,1
ELONZY,1,1
ELOONIE,0,1
ELOPHINE,1,1
ELOR,0,1
ELORA,0.591930392637329,41
ELORE,0,1
ELOREE,0,4
ELORENA,0,1
ELORENE,0,2
ELORES,0,2
ELORIA,0.776852934649573,4
ELORIE,0,2
ELORINE,0.874414443087022,5
ELORIS,0,5
ELORISE,0,1
ELORN,0,1
ELORNA,0.91261833712601,2
ELORNE,0,1
ELORNOR,0,1
ELORNZY,1,1
ELOROSE,0,1
ELORRAINE,0,1
ELORY,1,2
ELOS,0,2
ELOSHA,0,1
ELOSHIA,0.91261833712601,2
ELOSIA,0.487037164217999,12
