fname,fname_std,sex,source
STCLARA,CLARA,1,ABE
STCLARE,CLAIRE,1,ABE
STCLARE,CLAIRE,2,ABE
STCLARI,CLARI,1,ABE
STCLAUD,CLAUDE,1,ABE
STCLAUDIE,CLAUDIA,2,ABE
STCLEAR,CLEAR,1,ABE
STCLOE,CHLOE,2,ABE
STCLOUD,CLOUD,1,ABE
STCOLOMBE,COLOMBE,1,ABE
STCROIX,CROIX,1,ABE
STCROWLING,CROWLING,1,ABE
STCYR,CYR,1,ABE
STDENIS,DENNIS,1,ABE
STDENISE,DENISE,1,ABE
STDENNIS,DENNIS,2,ABE
STDEVON,DEVON,1,ABE
STDONIA,DONIA,2,ABE
STEAPHEN,STEPHEN,1,MPC
STEAVEN,STEPHEN,1,MPC
STEGER,EGER,1,ABE
STELA,STELLA,2,ABE
STELENE,ELENE,2,ABE
STELLIA,ELEANOR,2,ABE
STELLIE,STELLA,2,MPC
STELMA,ELMO,1,ABE
STELMA,ALMA,2,ABE
STELMO,ELMO,1,ABE
STELMON,ELMON,1,ABE
STELMOR,ELMER,1,ABE
STELMORE,ELMORE,1,ABE
STELMS,ELMS,1,ABE
STEMPHRANA,EMPHRANA,2,ABE
STEPEN,STEPHEN,1,ABE
STEPH,STEPHEN,1,MPC
STEPHAN,STEPHEN,1,MPC
STEPHENS,STEPHEN,1,ABE
STEPHIN,STEPHEN,1,MPC
STEPHN,STEPHEN,1,MPC
STEVAN,STEPHEN,1,MPC
STEVE,STEPHEN,1,MPC
STEVEN,STEPHEN,1,ABE
STEVENS,STEPHEN,1,ABE
STEWARD,STEWART,1,MPC
STFEUGOS,FEUGOS,1,ABE
STFLORIAN,FLORIAN,2,ABE
STFRANCES,FRANCES,2,ABE
STFRANCIS,FRANK,1,ABE
STGEOEGE,GEOEGE,1,ABE
STGEORG,GEORGE,1,ABE
STGEORGE,GEORGE,1,ABE
STGEORGES,GEORGE,1,ABE
STGERMAINE,GERMAINE,2,ABE
STGERTRUDE,GERTRUDE,2,ABE
STHELEN,HELEN,2,ABE
STHELENA,HELENA,2,ABE
STHELNA,HELNA,2,ABE
STIAGO,IAGO,1,ABE
STIRENE,IRENE,2,ABE
STIRLING,STERLING,1,MPC
STISABELLA,ISABELLA,2,ABE
STISIDORE,ISADORE,2,ABE
STJAGO,JAGO,1,ABE
STJAMES,JAMES,1,ABE
STJANE,JANE,2,ABE
STJAVITE,JAVITE,2,ABE
STJEAN,JEAN,1,ABE
STJOHN,JOHN,1,ABE
STJOHN,JOHANNA,2,ABE
STJOSEPH,JOSEPH,1,ABE
STJOSEPH,JOSEPHINE,2,ABE
STJULIAN,JULIAN,1,ABE
STJULIEN,JULIAN,1,ABE
STJULIUS,JULIUS,1,ABE
STJUSTE,JUSTE,1,ABE
STLAURENCE,LAURENCE,2,ABE
STLEDGER,LEDGER,1,ABE
STLEON,LEON,1,ABE
STLEZER,LEZER,1,ABE
STLOGGEN,LOGGEN,1,ABE
STLORENO,LORENO,2,ABE
STLOUIS,LEWIS,1,ABE
STLOVELL,LOVELL,1,ABE
STLUE,LEWIS,1,ABE
STLUKE,LUKE,1,ABE
STMAGARETH,MARGARETH,2,ABE
STMAGDALENE,MAGDALENE,2,ABE
STMARCELLINE,MARCELLINE,2,ABE
STMARCUS,MARCUS,1,ABE
STMARIA,MARIA,2,ABE
STMARIE,MARIE,2,ABE
STMARK,MARK,1,ABE
STMARTHA,MARTHA,2,ABE
STMARTIN,MARTIN,1,ABE
STMARTIN,MARTIN,2,ABE
STMARY,MARY,1,ABE
STMARY,MARY,2,ABE
STMARYS,MARYS,2,ABE
STMATHEW,MATTHEW,1,ABE
STMATHUE,MATHUE,1,ABE
STMATTHEW,MATTHEW,1,ABE
STMAURICE,MAURICE,1,ABE
STOORP,OORP,2,ABE
STPATRICK,PATRICK,1,ABE
STPAUL,PAUL,1,ABE
STPEETER,PETER,1,ABE
STPERE,PERE,1,ABE
STPEREE,PEREE,1,ABE
STPETER,PETER,1,ABE
STPIERRE,PIERRE,1,ABE
STPIERRE,PIERRE,2,ABE
STPROVILLE,PROVILLE,1,ABE
STPUBIAN,PUBIAN,1,ABE
STSABINE,SABINE,2,ABE
STSALVADOR,SALVADOR,1,ABE
STSHEPHERD,SHEPHERD,1,ABE
STSTEPHEN,STEPHEN,1,ABE
STSTEPHEN,STEPHEN,2,ABE
STTHERESA,THERESA,2,ABE
STTHOMAS,THOMAS,2,ABE
STTYLER,TYLER,2,ABE
STUARD,STEWART,1,ABE
STUART,STEWART,1,ABE
STVALERIE,VALERIE,2,ABE
STVICTOR,VICTOR,1,ABE
STVILES,VILES,1,ABE
STVILLE,VILLE,1,ABE
STVINCENT,VINCENT,1,ABE
STVRAIN,VRAIN,1,ABE
STWILLIAM,WILHELMINA,2,ABE
SUANNA,SUSANNA,2,ABE
SUE,SUSAN,2,MPC
SUFFRONA,SOPHRONIA,2,MPC
SULIVAN,SULLIVAN,1,MPC
SURENA,SERENA,2,ABE
SURILDA,SARILDA,2,ABE
SURRILDA,SARILDA,2,ABE
SUSA,SUSAN,2,MPC
SUSANA,SUSANNA,2,MPC
SUSANAH,SUSANNA,2,ABE
SUSANE,SUSAN,2,ABE
SUSANN,SUSAN,2,MPC
SUSANNAH,SUSANNA,2,MPC
SUSANNE,SUSANN,2,ABE
SUSE,SUSAN,2,MPC
SUSEN,SUSAN,2,MPC
SUSEY,SUSAN,2,MPC
SUSIA,SUSAN,2,ABE
SUSIAN,SUSAN,2,MPC
SUSIE,SUSAN,2,MPC
SUSIN,SUSAN,2,MPC
SUSON,SUSAN,2,MPC
SUSSAN,SUSAN,2,MPC
SUSSANA,SUSANNA,2,ABE
SUSSANAH,SUSANNA,2,MPC
SUSSANNA,SUSANNA,2,ABE
SUSSIE,SUSAN,2,MPC
SUSUN,SUSAN,2,MPC
SUSY,SUSAN,2,MPC
SUZAN,SUSAN,2,MPC
SUZANA,SUSANNA,2,ABE
SUZANNA,SUSANNA,2,MPC
SUZEN,SUSAN,2,ABE
SUZIE,SUSAN,2,MPC
SUZZIE,SUSAN,2,MPC
SWEN,SVEN,1,MPC
SYBEL,SYBIL,2,ABE
SYDNA,SYDNEY,1,MPC
SYDNY,SYDNEY,1,MPC
SYLLA,PRISCILLA,2,ABE
SYLUS,SILAS,1,MPC
SYLVA,SYLVIA,2,MPC
SYLVANIS,SILVANUS,1,ABE
SYLVANUS,SILVANUS,1,ABE
SYLVENUS,SILVANUS,1,ABE
SYLVESTA,SYLVESTER,1,ABE
SYLVESTOR,SYLVESTER,1,ABE
SYLVIE,SYLVIA,2,ABE
SYLVY,SYLVIA,2,MPC
SYMANTHA,SAMANTHA,2,MPC
SYMON,SIMON,1,MPC
SYNTHA,CYNTHIA,2,MPC
SYNTHIA,CYNTHIA,2,MPC
SYRENA,SERENA,2,MPC
SYRUS,CYRUS,1,MPC
SYTHA,CYNTHIA,2,MPC
TABATHA,TABITHA,2,ABE
TABBIE,TABITHA,2,MPC
TABBY,TABITHA,2,MPC
TABETHA,TABITHA,2,MPC
TAILOR,TAYLOR,1,MPC
TALLULA,TALLULAH,2,ABE
TALULAH,TALLULAH,2,ABE
TAMAR,TAMARA,2,MPC
TAMER,TAMERA,2,MPC
TAMIE,TAMARA,2,MPC
TAMMIE,TAMARA,2,MPC
TAMMY,TAMARA,2,MPC
TAMOR,TAMARA,2,MPC
TAMSEY,TAMARA,2,MPC
TAMY,TAMARA,2,MPC
TARESA,THERESA,2,MPC
TARESSA,THERESA,2,MPC
TAYLER,TAYLOR,1,ABE
TEBITHA,TABITHA,2,MPC
TED,THEODORE,1,MPC
TEDDY,THEODORE,1,MPC
TELITHA,TALITHA,2,MPC
TELULA,TALLULAH,2,ABE
TEMPA,TEMPERANCE,2,MPC
TEMPE,TEMPERANCE,2,MPC
TEMPEY,TEMPERANCE,2,MPC
TEMPIE,TEMPERANCE,2,MPC
TEMPY,TEMPERANCE,2,MPC
TENA,CHRISTINE,2,MPC
TENNESEE,TENNESSEE,2,ABE
TENNESSE,TENNESSEE,2,ABE
TEODORA,THEODORA,2,MPC
TEODORE,THEODORE,1,ABE
TEODORO,THEODORO,1,MPC
TEOFILA,THEOPHILA,2,ABE
TERANCE,TERRENCE,1,MPC
TERASA,THERESA,2,MPC
TERESA,THERESA,2,MPC
TERESE,THERESA,2,MPC
TERESIA,THERESA,2,ABE
TERESSA,THERESA,2,MPC
TERISA,THERESA,2,MPC
TERISSA,THERESA,2,MPC
TERRACE,THERESA,2,ABE
TERRANCE,TERENCE,1,MPC
TERRENCE,TERENCE,1,ABE
TERRESA,THERESA,2,ABE
TERRESSA,THERESA,2,MPC
TERRISSA,THERESA,2,ABE
TERRY,TERENCE,1,MPC
TERRY,THERESA,2,MPC
TESSA,THERESA,2,ABE
TESSIE,THERESA,2,ABE
TH,THOMAS,1,MPC
THAD,THADDEUS,1,MPC
THADDIUS,THADDEUS,1,ABE
THADEOUS,THADDEUS,1,MPC
THADEUS,THADDEUS,1,MPC
THADIOUS,THADDEUS,1,ABE
THADIUS,THADDEUS,1,MPC
THADUS,THADDEUS,1,MPC
THANKFULL,THANKFUL,2,MPC
THAS,THOMAS,1,MPC
THE,THEODORE,1,MPC
THEADOCIA,THEODOSIA,2,ABE
THEADOR,THEODORE,1,MPC
THEADORA,THEODORA,2,ABE
THEADORE,THEODORE,1,MPC
THEADOSIA,THEODOSIA,2,ABE
THEDORA,THEODORA,2,MPC
THEDORE,THEODORE,1,MPC
THEO,THEODORE,1,MPC
THEO,THEODORA,2,MPC
THEOBOLD,THEOBALD,1,ABE
THEOD,THEODORE,1,MPC
THEODOCIA,THEODOSIUS,2,MPC
THEODOR,THEODORE,1,MPC
THEODORA,THEODORE,1,ABE
THEODORIA,THEODORA,2,ABE
THEOPHELUS,THEOPHILUS,1,ABE
THEOPHILE,THEOPHILUS,1,ABE
THEOPHOLIS,THEOPHILUS,1,ABE
THEOPHOLUS,THEOPHILUS,1,ABE
THEOPILUS,THEOPHILUS,1,ABE
THEOPOLIS,THEOPHILUS,1,ABE
THEORDORE,THEODORE,1,MPC
THERASA,THERESA,2,ABE
THERESE,THERESA,2,MPC
THERESEA,THERESA,2,ABE
THERESIA,THERESA,2,MPC
THERESSA,THERESA,2,MPC
THERISA,THERESA,2,MPC
THERISSA,THERESA,2,MPC
THERRESSA,THERESA,2,MPC
THERSA,THERESA,2,MPC
THERSIA,THERESA,2,MPC
THILDA,MATILDA,2,ABE
THIMOTHY,TIMOTHY,1,MPC
THIMOTY,TIMOTHY,1,MPC
THIRZA,TIRZAH,2,ABE
THMAS,THOMAS,1,ABE
THO,THOMAS,1,MPC
THODORE,THEODORE,1,MPC
THOM,THOMAS,1,MPC
THOMA,THOMAS,1,MPC
THOMES,THOMAS,1,MPC
THOMIS,THOMAS,1,MPC
THOMMAS,THOMAS,1,MPC
THOMOS,THOMAS,1,MPC
THOMS,THOMAS,1,MPC
THONAS,THOMAS,1,MPC
THORTON,THORNTON,1,ABE
THOS,THOMAS,1,MPC
THREASA,THERESA,2,MPC
THRESA,THERESA,2,MPC
THRESE,THERESA,2,MPC
THRESIA,THERESA,2,ABE
THRESSA,THERESA,2,MPC
THS,THOMAS,1,MPC
TIBITHA,TABITHA,2,MPC
TILDA,MATILDA,2,ABE
TILDIA,MATILDA,2,MPC
TILDIE,MATILDA,2,MPC
TILDY,MATILDA,2,MPC
TILGHMAN,TILLMAN,1,ABE
TILITHA,TALITHA,2,ABE
TILLEY,MATILDA,2,MPC
TILLIA,PRISCILLA,2,ABE
TILLIE,MATILDA,2,MPC
TILLY,MATILDA,2,MPC
TILMAN,TILLMAN,1,ABE
TILMON,TILLMAN,1,ABE
TIM,TIMOTHY,1,MPC
TIMATHY,TIMOTHY,1,MPC
TIMITHY,TIMOTHY,1,MPC
TIMOTHEY,TIMOTHY,1,ABE
TINA,CHRISTINE,2,ABE
TINNIE,CHRISTINA,2,MPC
TINY,CHRISTINE,2,ABE
TIRZA,TIRZAH,2,ABE
TISH,LETITIA,2,ABE
TISHA,LETITIA,2,ABE
TISHIE,LETITIA,2,ABE
TOBE,TOBIAS,1,MPC
TOBIE,TOBIAS,1,MPC
TOBITHA,TABITHA,2,ABE
TOBY,TOBIAS,1,MPC
TOLITHA,TALITHA,2,ABE
TOM,THOMAS,1,MPC
TOMAS,THOMAS,1,MPC
TOMASA,THOMASINA,2,ABE
TOMEY,THOMAS,1,MPC
TOMIE,THOMAS,1,MPC
TOMMAS,THOMAS,1,MPC
TOMMIE,THOMAS,1,MPC
TOMMY,THOMAS,1,MPC
TOMPSON,THOMPSON,1,MPC
TOMY,THOMAS,1,MPC
TONE,ANTHONY,1,MPC
TONEY,ANTHONY,1,MPC
TONI,ANTHONY,1,MPC
TONIE,ANTHONY,1,MPC
TONY,ANTHONY,1,MPC
TONY,ANTHONY,2,MPC
TRACEY,TRACY,1,MPC
TRACIE,THERESA,2,ABE
TREACY,THERESA,2,ABE
TREASA,THERESA,2,MPC
TREASY,TRACY,2,MPC
TRECY,THERESA,2,ABE
TRENA,CATHERINE,2,ABE
TRESA,THERESA,2,ABE
TRESIA,THERESA,2,ABE
TRESSA,THERESA,2,ABE
TRESSIA,THERESA,2,ABE
TRINA,CATHERINE,2,ABE
TRUDY,GERTRUDE,2,ABE
TULULA,TALLULAH,2,ABE
UBALDINAMAR,UBALDINA,2,ABE
UDORA,EUDORA,2,MPC
UGENE,EUGENE,1,MPC
UGENIA,EUGENIA,2,MPC
ULALIA,EULALIA,2,ABE
ULISES,ULYSSES,1,MPC
ULISIS,ULYSSES,1,MPC
ULISSES,ULYSSES,1,MPC
ULISSIS,ULYSSES,1,MPC
ULISSUS,ULYSSES,1,MPC
ULISUS,ULYSSES,1,MPC
ULRICK,ULRICH,1,ABE
ULYSES,ULYSSES,1,MPC
ULYSESS,ULYSSES,1,ABE
ULYSIS,ULYSSES,1,MPC
ULYSSE,ULYSSES,1,ABE
ULYSSIS,ULYSSES,1,ABE
ULYSSUS,ULYSSES,1,MPC
ULYSUS,ULYSSES,1,MPC
UMPHREY,HUMPHREY,1,ABE
UNICE,EUNICE,2,MPC
UNIS,EUNICE,2,MPC
UNUS,EUNICE,2,MPC
URANA,URANIA,2,ABE
URANIE,URANIA,2,ABE
URIAL,URIAH,1,ABE
URIAS,URIAH,1,ABE
URSALA,URSULA,2,ABE
URSULE,URSULA,2,ABE
V  L,MARSHALL,1,ABE
VAGINIA,VIRGINIA,2,MPC
VAL,VALENTIN,1,MPC
VALANTINE,VALENTINE,1,MPC
VALENTIN,VALENTINE,1,ABE
VALINTINE,VALENTINE,1,ABE
VALLIE,VALERIE,2,MPC
VERGENIA,VIRGINIA,2,MPC
VERGIE,VIRGINIA,2,MPC
VERGIL,VIRGIL,1,ABE
VERGINA,VIRGINIA,2,MPC
VERGINIA,VIRGINIA,2,MPC
VERN,VERNON,1,MPC
VERNIE,VERNA,2,ABE
VERONIKA,VERONICA,2,MPC
VIC,VICTORIA,2,MPC
VICENTE,VINCENT,1,MPC
VICENZAMARY,VICENZA,2,ABE
VICK,VICTORIA,2,MPC
VICK,VICTOR,1,MPC
VICTOIRE,VICTORY,2,ABE
VICTORA,VICTORIA,2,MPC
VICTORIE,VICTORY,2,ABE
VICTORIN,VICTOR,1,MPC
VIGINIA,VIRGINIA,2,MPC
VILET,VIOLET,2,MPC
VINCE,VINCENT,1,MPC
VINCEN,VINCENT,1,MPC
VINCENZ,VINCENT,1,ABE
VINIE,VIENNA,2,MPC
VIOLETT,VIOLET,2,ABE
VIOLETTA,VIOLET,2,ABE
VIOLETTE,VIOLET,2,ABE
VIRGA,VIRGINIA,2,MPC
VIRGAL,VIRGIL,1,MPC
VIRGEL,VIRGIL,1,ABE
VIRGENIA,VIRGINIA,2,ABE
VIRGIA,VIRGINIA,2,MPC
VIRGIE,VIRGINIA,2,MPC
VIRGIE,VIRGIL,1,MPC
VIRGIN,VIRGINIA,2,ABE
VIRGINA,VIRGINIA,2,MPC
VIRGINIE,VIRGINIA,2,MPC
VIRGINNIA,VIRGINIA,2,ABE
VIRGJANE,JANE,2,ABE
VOLENTINE,VALENTINE,1,MPC
WADDY,WADE,1,ABE
WAID,WADE,1,MPC
WALACE,WALLACE,1,MPC
WALICE,WALLACE,1,ABE
WALLAS,WALLACE,1,MPC
WALLES,WALLACE,1,MPC
WALLEY,WALTER,1,ABE
WALLICE,WALLACE,1,ABE
WALLIE,WALLACE,1,MPC
WALLIS,WALLACE,1,ABE
WALLY,WALTER,1,ABE
WALT,WALTER,1,MPC
WALTAR,WALTER,1,ABE
WALTERREV,WALTER,1,ABE
WALTERS,WALTER,1,ABE
WALTHER,WALTER,1,MPC
WALTOR,WALTER,1,ABE
WANE,WAYNE,1,ABE
WAREN,WARREN,1,MPC
WARRAN,WARREN,1,MPC
WARRIN,WARREN,1,MPC
WASH,WASHINGTON,1,MPC
WASHING,WASHINGTON,1,ABE
WASHS,WASHINGTON,1,ABE
WEB,WEBSTER,1,MPC
WEBB,WEBSTER,1,MPC
WELCOM,WELCOME,1,ABE
WELDONM,WELDON,1,ABE
WELHELMINA,WILHELMINA,2,MPC
WELLINGTONS,WELLINGTON,1,ABE
WELTHY,WEALTHY,2,ABE
WENCIL,WENZEL,1,MPC
WES,WESLEY,1,MPC
WESLEYJR,WESLEY,1,ABE
WESLIE,WESLEY,1,MPC
WESLY,WESLEY,1,MPC
WESS,WESLEY,1,MPC
WESSLEY,WESLEY,1,ABE
WESSLY,WESLEY,1,ABE
WESTLEY,WESLEY,1,ABE
WESTLY,WESLEY,1,MPC
WIATT,WYATT,1,MPC
WIL,WILLIAM,1,MPC
WILAMINA,WILHELMINA,2,MPC
WILARD,WILLARD,1,ABE
WILBER,WILBUR,1,ABE
WILBOR,WILBUR,1,ABE
WILBURN,WILBUR,1,ABE
WILBURT,WILBUR,1,ABE
WILEMINA,WILHELMINA,2,MPC
WILH,WILLIAM,1,MPC
WILHAM,WILLIAM,1,MPC
WILHELM,WILHELMINA,2,MPC
WILHELMENA,WILHELMINA,2,MPC
WILHELMENIA,WILHELMINA,2,ABE
WILHELMIA,WILHELMINA,2,ABE
WILHELMIN,WILHELMINA,2,MPC
WILHELMINE,WILHELMINA,2,ABE
WILHELMINIA,WILHELMINA,2,ABE
WILHEMENA,WILHELMINA,2,ABE
WILHEMINA,WILHELMINA,2,MPC
WILHEMINE,WILHELMINA,2,MPC
WILIAM,WILLIAM,1,MPC
WILIE,WILLIAM,1,MPC
WILIS,WILLIS,1,ABE
WILKIE,WILKINS,1,MPC
WILL,WILLIAM,1,MPC
WILL,WILHELMINA,2,MPC
WILLA,WILHELMINA,2,MPC
WILLA,WILLIAM,1,MPC
WILLAIM,WILLIAM,1,MPC
WILLAM,WILLIAM,1,MPC
WILLAMENA,WILHELMINA,2,MPC
WILLAMINA,WILHELMINA,2,MPC
WILLAST,WILHELMINA,2,ABE
WILLBER,WILBUR,1,ABE
WILLE,WILLIAM,1,MPC
WILLEM,WILLIAM,1,MPC
WILLEMINA,WILHELMINA,2,MPC
WILLES,WILLIS,1,MPC
WILLEY,WILHELMINA,2,MPC
WILLHELM,WILHELM,1,ABE
WILLHELMINA,WILHELMINA,2,ABE
WILLI,WILLIAM,1,MPC
WILLIA,WILLIAM,1,MPC
WILLIAM,WILHELMINA,2,ABE
WILLIAMINA,WILHELMINA,2,MPC
WILLIAMS,WILLIAM,1,ABE
WILLIAN,WILLIAM,1,MPC
WILLIARD,WILLARD,1,MPC
WILLICE,WILLIS,1,MPC
WILLIE,WILLIAM,1,MPC
WILLIE,WILHELMINA,2,MPC
WILLILAM,WILLIAM,1,MPC
WILLIM,WILLIAM,1,MPC
WILLIMENA,WILHELMINA,2,MPC
WILLIMINA,WILHELMINA,2,MPC
WILLIUM,WILLIAM,1,MPC
WILLLIAM,WILLIAM,1,ABE
WILLM,WILLIAM,1,MPC
WILLMER,WILMER,1,MPC
WILLMINA,WILHELMINA,2,MPC
WILLSON,WILSON,1,MPC
WILLY,WILLIAM,1,MPC
WILLY,WILHELMINA,2,MPC
WILM,WILLIAM,1,MPC
WILMA,WILHELMINA,2,MPC
WILMENA,WILHELMINA,2,MPC
WILMINA,WILHELMINA,2,MPC
WILY,WILLIAM,1,MPC
WINAFORD,WINIFRED,2,MPC
WINAFRED,WINIFRED,2,MPC
WINCY,WINIFRED,2,MPC
WINDFIELD,WINFIELD,1,MPC
WINEFORD,WINIFRED,2,MPC
WINEFRED,WINIFRED,2,MPC
WINEY,WINIFRED,2,MPC
WINFORD,WINIFRED,2,MPC
WINFRED,WINIFRED,1,MPC
WINFRED,WINIFRED,2,MPC
WINIE,WINIFRED,2,MPC
WINIFORD,WINIFRED,2,MPC
WINNA,WINIFRED,2,MPC
WINNE,WINIFRED,2,MPC
WINNEFORD,WINIFRED,2,MPC
WINNEFRED,WINIFRED,2,MPC
WINNEY,WINIFRED,2,MPC
WINNIE,WINIFRED,2,MPC
WINNIE,WINIFRED,1,MPC
WINNIEFRED,WINIFRED,2,ABE
WINNIFORD,WINIFRED,2,MPC
WINNIFRED,WINIFRED,2,MPC
WINNY,WINIFRED,2,MPC
WISLEY,WESLEY,1,MPC
WLM,WILLIAM,1,MPC
WM,WILLIAM,1,MPC
WM,WILLIAM,2,MPC
WOODIE,WOODROW,1,MPC
WOODRUFF,MARSHALL,1,ABE
WOODY,WOODROW,1,ABE
WOOHENG,WOO,1,ABE
WORREN,WARREN,1,MPC
WYAT,WYATT,1,ABE
WYETT,WYATT,1,ABE
WYLEY,WILEY,1,ABE
WYLY,WILEY,1,ABE
XAVER,XAVIER,1,ABE
YECHUNG,YE,1,ABE
YSABEL,ISABEL,2,MPC
ZAC,ZACHARIAH,1,MPC
ZACARIAH,ZACHARY,1,ABE
ZACH,ZACHARIAH,1,MPC
ZACHARIA,ZACHARY,1,ABE
ZACHARIAH,ZACHARY,1,ABE
ZACHARIAS,ZACHARY,1,ABE
ZACHERIAH,ZACHARY,1,ABE
ZACHRIAH,ZACHARY,1,ABE
ZACK,ZACHARY,1,MPC
ZACKARIAH,ZACHARY,1,ABE
ZADIE,SARAH,2,MPC
ZADOC,ZADOK,1,ABE
ZADOCK,ZADOK,1,ABE
ZARILDA,ZERELDA,2,ABE
ZEB,ZEBADIAH,1,MPC
ZEBEDEE,ZEBEDIAH,1,ABE
ZED,ZEDEKIAH,1,MPC
ZEKE,EZEKIEL,1,MPC
ZELIA,CELIA,2,ABE
ZELPHA,ZILPAH,2,ABE
ZELPHIA,ZILPAH,2,ABE
ZENAS,ZENO,1,ABE
ZENOS,ZENO,1,ABE
ZEPH,ZEPHANIAH,1,ABE
ZEPHENIAH,ZEPHANIAH,1,ABE
ZERILDA,ZERELDA,2,ABE
ZILLA,ZILLAH,2,ABE
ZILLAH,ZILPAH,2,ABE
ZILPHA,ZILPAH,2,ABE
ZILPHIA,ZILPAH,2,ABE
ZILPHY,ZILPAH,2,ABE
ZOA,ZOE,2,ABE
ZYLPHA,ZILPAH,2,ABE
ZYLPHIA,ZILPAH,2,ABE
