fname,fname_std,nickname_mpc,sex
EVVA,EVA,1,2
MINNIA,MINNIA,0,2
JHON,JOHN,1,1
ALFONZO,ALFONZO,0,1
FRIDA,FRIEDA,1,2
LESSIE,LESLIE,0,2
BLUFORD,BLUFORD,0,1
MAXWELL,MAXWELL,0,1
PAULENA,PAULINA,1,2
ALICIA,ALICIA,0,2
KARI,KARI,0,2
TEMPIE,TEMPERANCE,1,2
RAMONA,RAMONA,0,2
MARGREAT,MARGARET,1,2
DORINDA,DORINDA,0,2
PERY,PERRY,1,1
JULEY,JULIA,1,2
HATIE,HARRIET,1,2
SHADE,SHADRACH,1,1
BARNET,BARNET,0,1
ELMA,ELMA,0,1
HOPE,HOPE,0,2
JULLIA,JULIA,1,2
THOMS,THOMAS,1,1
RITTA,RITTA,0,2
MAGDALINA,MAGDALENA,1,2
HENNIE,HENRIETTA,1,2
DEE,DEE,0,1
PHILA,PHILOMENA,1,2
CHAPMAN,CHAPMAN,0,1
MARAGRET,MARGARET,1,2
ALVERTA,ALVERTA,0,2
KEZIA,KEZIA,0,2
SUSIN,SUSAN,1,2
JENETTA,JENETTA,0,2
HESEKIAH,HEZEKIAH,1,1
ENNIS,ENNIS,0,1
GARY,GARY,0,1
LUANNA,LUANNA,0,2
HERRMANN,HERMAN,1,1
LESLEY,LESLEY,0,1
ERNSTINE,ERNESTINE,1,2
ELIZTH,ELIZABETH,1,2
AMIEL,AMIEL,0,1
MAGNUS,MAGNUS,0,1
PAGE,PAGE,0,1
SAFRONA,SAFRONA,0,2
ALCY,ALCY,0,2
LANORA,LANORA,0,2
LOUVENIA,LUVENIA,1,2
ELA,ELLA,1,2
ELIZAR,ELIZAR,0,2
OCTAVA,OCTAVIA,1,2
LUVINIA,LUVINIA,0,2
ZENAS,ZENAS,0,1
CINDY,CYNTHIA,1,2
CLARRY,CLARRY,0,2
EMILE,EMILE,0,2
FRIEDERICH,FRIEDRICH,1,1
EMIEL,EMILE,1,1
KNUT,KNUT,0,1
COURTNEY,COURTNEY,0,2
NEILS,NIELS,1,1
DOLPHUS,DOLPHUS,0,1
PHOEBY,PHOEBE,1,2
FRANKY,FRANCES,1,2
EMOLINE,EMOLINE,0,2
U,U,0,2
EVERLINE,EVELYN,0,2
GRACIA,GRACIA,0,2
SISSIE,CECILIA,1,2
CATHERAN,CATHERINE,1,2
JOANAH,JOANAH,0,2
WILLE,WILLIAM,1,1
CALEDONIA,CALEDONIA,0,2
EWING,EWING,0,1
ZACARIAH,ZACARIAH,0,1
UNIS,EUNICE,1,2
ELIZE,ELIZABETH,1,2
LEONTINE,LEONTINE,0,2
AMMON,AMMON,0,1
ELLENA,ELENA,1,2
TEMPA,TEMPERANCE,1,2
CASSY,CASSANDRA,1,2
AUGUSTAS,AUGUSTUS,1,1
PARLEY,PARLEY,0,1
STACY,STACY,0,1
FREDONIA,FREDONIA,0,2
CELA,CELA,0,2
ELDA,ELDA,0,2
MALINA,MALINA,0,2
RINDA,RINDA,0,2
WEBB,WEBSTER,1,1
BALLARD,BALLARD,0,1
RUEL,RUEL,0,1
ELIZZA,ELIZABETH,1,2
OSKAR,OSCAR,1,1
DEBBY,DEBORAH,1,2
ULYSSUS,ULYSSES,1,1
FINIS,FINIS,0,1
ADELINA,ADELINA,0,2
MANSFIELD,MANSFIELD,0,1
CHRISTAIN,CHRISTIAN,1,1
GERALD,GERALD,0,1
DONNA,DONNA,0,2
ALINE,ALINE,0,2
MIRON,MYRON,1,1
HORRIS,HORACE,1,1
LYDIE,LYDIA,1,2
BERTHIE,BERTHA,0,2
DUKE,DUKE,0,1
WINFRED,WINIFRED,1,1
RALF,RALPH,1,1
BURL,BURL,0,1
ELLISON,ELLISON,0,1
JOSEPHEN,JOSEPHINE,1,2
CRIS,CHRISTOPHER,1,1
GUNDER,GUNDER,0,1
HUE,HUGH,1,1
JEFFREY,JEFFREY,0,1
MAGGE,MARGARET,1,2
ALCINDA,ALCINDA,0,2
LUGENIA,LUGENIA,0,2
DUDLY,DUDLEY,1,1
ACY,ACY,0,1
LUM,LUM,0,1
MARIANNE,MARIANNE,0,2
RILY,RILEY,1,1
FILMORE,FILMORE,0,1
DIXIE,DIXIE,0,2
SALIE,SALLY,0,2
SALINDA,SALINDA,0,2
PROSPER,PROSPER,0,1
EMILA,EMILA,0,2
LUCINDIA,LUCINDIA,0,2
AMEL,AMEL,0,1
TOLBERT,TOLBERT,0,1
MANY,MANY,0,2
SAREPTA,SAREPTA,0,2
KNUD,KNUD,0,1
NERO,NERO,0,1
RODGER,ROGER,1,1
HARLAND,HARLAND,0,1
PLEAS,PLEAS,0,1
WINTHROP,WINTHROP,0,1
LOUESIA,LOUISA,1,2
DORATHEA,DORATHEA,0,2
DOW,DOW,0,1
ALMYRA,ALMYRA,0,2
ANITA,ANITA,0,2
ARABELL,ARABELL,0,2
OTTIS,OTTIS,0,1
MARI,MARI,0,2
THRESSA,THERESA,1,2
IZORA,IZORA,0,2
SUZAN,SUSAN,1,2
STANLY,STANLEY,1,1
UGENE,EUGENE,1,1
CH,CHARLES,1,1
PINCKNEY,PINCKNEY,0,1
TROY,TROY,0,1
WELDON,WELDON,0,1
GERGE,GEORGE,1,1
ESAU,ESAU,0,1
SANDFORD,SANDFORD,0,1
SCOT,SCOT,0,1
JENNA,JENNA,0,2
SYRUS,CYRUS,1,1
ADOLPHE,ADOLPHE,0,1
DOSIA,DOSIA,0,2
MARTA,MARTA,0,2
FREMAN,FREEMAN,1,1
WALLER,WALLER,0,1
CHRISTENE,CHRISTENE,0,2
SUSSIE,SUSAN,1,2
ARY,ARY,0,2
JESUSA,JESUSA,0,2
IRINE,IRENE,1,2
ATTIE,ATHENA,0,2
ESSEX,ESSEX,0,1
JULIEN,JULIEN,0,1
LINSEY,LINSEY,0,1
AQUILLA,AQUILLA,0,1
CLAIR,CLAIR,0,1
FRANCIES,FRANCIES,0,2
GOTTLEIB,GOTTLEIB,0,1
OLA,OLA,0,1
STANISLAUS,STANISLAUS,0,1
ALETHA,ALETHA,0,2
JESSA,JESSE,1,1
HARROLD,HARROLD,0,1
HYMAN,HYMAN,0,1
ROSAN,ROSANNE,1,2
BABARA,BARBARA,1,2
DORETHEA,DORETHEA,0,2
JEANNIE,JEANNIE,0,2
SAMEUL,SAMUEL,1,1
SHEPHERD,SHEPHERD,0,1
VALERIA,VALERIA,0,2
MATH,MATTHEW,1,1
ISIDORE,ISIDORE,0,1
MAYNARD,MAYNARD,0,1
WINNEFRED,WINIFRED,1,2
DARA,DARA,0,2
CORNELIAS,CORNELIAS,0,1
LARAH,LARAH,0,2
BENJAMON,BANJAMIN,1,1
ELEAZER,ELEAZER,0,1
GILFORD,GILFORD,0,1
FILLIS,PHYLLIS,1,2
DEBBIE,DEBORAH,1,2
AILSEY,AILSEY,0,2
TINY,TINY,0,2
BUDDIE,BUDDIE,0,1
CLARICY,CLARICY,0,2
RUBIE,RUBY,1,2
MAMMIE,MAMMIE,0,2
VIENNA,VIENNA,0,2
THIMOTHY,TIMOTHY,1,1
HAM,HAM,0,1
ASAHEL,ASAHEL,0,1
PLEASANT,PLEASANT,0,2
ROSSA,ROSSA,0,2
ELIZAH,ELIZAH,0,1
DOMINGO,DOMINGO,0,1
ULRICH,ULRICH,0,1
PHILL,PHILIP,1,1
FREDERIK,FREDERIK,0,1
WILTON,WILTON,0,1
HERVEY,HERVEY,0,1
MANFORD,MANFORD,0,1
SCIPIO,SCIPIO,0,1
JUDIA,JUDIA,0,2
CLINT,CLINT,0,1
WM,WILLIAM,1,2
MARGETT,MARGARET,1,2
JOACHIM,JOAQUIN,1,1
HORTON,HORTON,0,1
HANNORAH,HONORA,1,2
BENJA,BENJAMIN,1,1
ELMYRA,ELMYRA,0,2
RICKA,RICKA,0,2
HEN,HENRY,1,1
CRISTOPHER,CHRISTOPHER,1,1
MAGRET,MARGARET,1,2
SYDNEY,SYDNEY,0,2
LUTHUR,LUTHER,1,1
JOHNSTON,JOHNSTON,0,1
CENA,CENA,0,2
LURETTA,LURETTA,0,2
LYDDA,LYDDA,0,2
WHIT,WHIT,0,1
FRANCISCO,FRANCISCO,0,2
MIRTLE,MIRTLE,0,2
SWEN,SVEN,1,1
ROMEO,ROMEO,0,1
CHARLES,CHARLES,0,2
ENDORA,ENDORA,0,2
HIRUM,HIRAM,1,1
AURTHUR,ARTHUR,1,1
MANLEY,MANLEY,0,1
HENRIETA,HENRIETTA,1,2
BARBERA,BARBARA,1,2
MAYBELL,MAYBELL,0,2
JEF,JEFFREY,1,1
AMERICUS,AMERICUS,0,1
KNUDT,KNUDT,0,1
FEBY,PHOEBE,1,2
DILLIE,DILLIE,0,2
JULINA,JULINA,0,2
BAPTISTE,BAPTISTE,0,1
OCTAVIE,OCTAVIE,0,2
SUSANN,SUSAN,0,2
FLORINDA,FLORINDA,0,2
MELINA,MELINA,0,2
BISHOP,BISHOP,0,1
ELIZABETT,ELIZABETT,0,2
JOSIPHINE,JOSEPHINE,1,2
ELIZZABETH,ELIZABETH,1,2
BARBRY,BARBARA,1,2
LORRA,LORRA,0,2
BRIDGIT,BRIDGET,1,2
FANNA,FANNA,0,2
IDAH,IDAH,0,2
BIRDIE,BIRDIE,0,1
GEO,GEORGIA,1,2
CASSANDRA,CASSANDRA,0,2
DOVIE,DOVIE,0,2
LETHE,LETHE,0,2
CALLA,CALLA,0,2
LETTIA,LETTIA,0,2
ELZABETH,ELIZABETH,1,2
CHARLOTE,CHARLOTTE,1,2
AH,AH,0,2
CECIL,CECIL,0,2
ERVING,ERVING,0,1
HANNIBAL,HANNIBAL,0,1
CONSTANT,CONSTANTINE,1,1
ANNICE,ANNICE,0,2
RHEUBEN,REUBEN,1,1
SEWELL,SEWELL,0,1
FREDERICKE,FREDERICKA,1,2
CONNIE,CONSTANCE,1,2
REKA,REKA,0,2
NATH,NATHANIEL,1,1
ELEZEBETH,ELIZABETH,1,2
EVANGELINE,EVANGELINE,0,2
THADIUS,THADDEUS,1,1
BERTHIA,BERTHIA,0,2
SIMION,SIMION,0,1
BRITTON,BRITTON,0,1
STARLING,STARLING,0,1
ELIZZIE,ELIZABETH,1,2
ALLAS,ALLAS,0,2
TESSIE,TESSIE,0,2
LAURY,LAURA,1,2
ALIE,ALLIE,0,2
HARIETTE,HARIETTE,0,2
EVANDER,EVANDER,0,1
RUTHIE,RUTH,1,2
ILA,ILA,0,2
ELIZA,ELIZA,0,1
MALISSIE,MALISSIE,0,2
TUNIS,TUNIS,0,1
WILMINA,WILHELMINA,1,2
THERSA,THERESA,1,2
ALSEY,ALSEY,0,2
BIDDIE,BIDDIE,0,2
DILLY,DILLY,0,2
ARCHA,ARCHIBALD,1,1
CORDA,CORDA,0,2
LURANA,LURANA,0,2
SINDY,CYNTHIA,1,2
ELENDER,ELENDER,0,2
EMME,EMMA,0,2
MERTA,MERTA,0,2
MARTON,MARTIN,1,1
SELDEN,SHELDON,1,1
GRAY,GRAY,0,1
SHEPARD,SHEPARD,0,1
BENJN,BENJAMIN,1,1
BIRT,BIRT,0,1
JAKOB,JAKOB,0,1
MERVIN,MERVIN,0,1
RALEIGH,RALEIGH,0,1
TILLEY,MATILDA,1,2
JORDEN,JORDEN,0,1
NANY,NANNY,1,2
JOESEPH,JOSEPH,1,1
JULIANNA,JULIANNA,0,2
ERIK,ERIK,0,1
JUDAH,JUDAH,0,2
LENIA,LENIA,0,2
MOSSES,MOSES,1,1
LELLA,LELLA,0,2
MIRAM,MIRIAM,0,2
RANDLE,RANDALL,1,1
BIRTIE,BIRTIE,0,1
GORDEN,GORDEN,0,1
NEEDHAM,NEEDHAM,0,1
CATHEREN,KATHARINE,1,2
LIZER,ELIZABETH,1,2
EMM,EMM,0,2
KISIAH,KISIAH,0,2
ARCHABALD,ARCHABALD,0,1
BURNETT,BURNETT,0,1
ELMAR,ELMAR,0,1
GUSTOF,GUSTOF,0,1
ELEZABETH,ELIZABETH,1,2
SAMULE,SAMUEL,1,1
LINN,LINN,0,1
ANJALINE,ANGELINE,1,2
YETTA,YETTA,0,2
CELESTA,CELESTA,0,2
ELCY,ELIZABETH,1,2
BENA,BENA,0,2
MONA,MONA,0,2
MANNING,MANNING,0,1
WELCOME,WELCOME,0,1
GARFIELD,GARFIELD,0,1
WYLEY,WYLEY,0,1
PALINA,PAULINA,1,2
LODEMA,LODEMA,0,2
LORINA,LORINA,0,2
NATTIE,NATTIE,0,2
FRANSIS,FRANSIS,0,1
TANDY,TANDY,0,1
CHRISTIN,CHRISTIN,0,2
LOVIE,LOVIE,0,2
CHRISTY,CHRISTY,0,2
FRIEDA,FRIEDA,0,2
HERMINE,HERMINE,0,2
ROSALEE,ROSALEE,0,2
JULUS,JULIUS,1,1
HART,HART,0,1
ELLY,ELLY,0,2
VIDA,VIDA,0,2
HOLLAND,HOLLAND,0,1
REBECKER,REBECCA,1,2
JENNI,JENNI,0,2
BENJIMIN,BENJAMIN,1,1
PEARLIE,PEARL,1,2
PEATER,PETER,1,1
URIAS,URIAS,0,1
ELISABETHA,ELIZABETH,1,2
ELIC,ELIC,0,1
NILES,NILES,0,1
JAMIE,JAMIE,0,2
OLIE,OLIVER,1,1
WENDELL,WENDELL,0,1
PHEBIE,PHOEBE,1,2
MIRAH,MIRAH,0,2
RITCHARD,RICHARD,1,1
MARTAIN,MARTIN,1,1
DOROTHA,DOROTHA,0,2
ELLAR,ELLAR,0,2
LEANORA,LEANORA,0,2
ROBBIE,ROBERT,1,1
SEVILLA,SEVILLA,0,2
ZELIA,ZELIA,0,2
ALIC,ALEXANDER,1,1
DOMINIC,DOMINIC,0,1
FULTON,FULTON,0,1
CHRISTEN,CHRISTEN,0,2
EZEKIAL,EZEKIAL,0,1
FRIEDRICK,FRIEDRICK,0,1
HAYDEN,HAYDEN,0,1
SHERWOOD,SHERWOOD,0,1
YANCY,YANCY,0,1
ELISBETH,ELIZABETH,1,2
DESIRE,DESIRE,0,2
ZEB,ZEBADIAH,1,1
RODOLPH,RUDOLPH,1,1
CARLE,CARLE,0,1
TUCKER,TUCKER,0,1
WING,WING,0,1
REBBECA,REBECCA,1,2
NAN,NANCY,1,2
WILLM,WILLIAM,1,1
ABSOLOM,ABSOLOM,0,1
ELISABATH,ELIZABETH,1,2
CALDONA,CALEDONIA,1,2
LUCUS,LUCUS,0,1
LYSANDER,LYSANDER,0,1
CONELIA,CORNELIA,1,2
LUDA,LUDA,0,2
MARCY,MARCY,0,2
NANNA,NANNA,0,2
ORVAL,ORVILLE,1,1
CATARINA,CATARINA,0,2
ELLON,ELLON,0,2
LOTT,LOTT,0,1
CARLINA,CARLINA,0,2
CLARKE,CLARKE,0,1
WOOD,WOOD,0,1
MANDIE,AMANDA,1,2
FRIEND,FRIEND,0,1
RUPERT,RUPERT,0,1
CLATON,CLAYTON,1,1
AB,ABRAHAM,1,1
THIRZA,THIRZA,0,2
LEONIE,LEONIE,0,2
COLMAN,COLMAN,0,1
MILAN,MILAN,0,1
CATHERNE,CATHERINE,1,2
LIZZI,ELIZABETH,1,2
CLAUDIE,CLAUDIA,1,2
LOURA,LOURA,0,2
SYLVANIA,SYLVANIA,0,2
STANFORD,STANFORD,0,1
JOSEPINE,JOSEPHINE,1,2
GURTIE,GERTRUDE,1,2
ERNESTINA,ERNESTINA,0,2
LARENCE,LAWRENCE,1,1
GERRIT,GARRETT,1,1
GREGORIO,GREGORIO,0,1
LORAN,LORAN,0,1
PINKIE,PINKIE,0,2
UNITY,UNITY,0,2
ANTHON,ANTHON,0,1
IVY,IVY,0,1
LISETTE,LISETTE,0,2
VIANNA,VIANNA,0,2
ANICE,ANICE,0,2
LISSA,LISA,0,2
MARGURET,MARGARET,0,2
SEALY,SEALY,0,2
JOH,JOHN,1,1
CONROD,CONRAD,1,1
BENJMAN,BENJAMIN,1,1
REECE,REECE,0,1
DILSEY,DILSEY,0,2
PARLEE,PARLEE,0,2
ORRIS,ORRIS,0,1
MONICA,MONICA,0,2
SALOMON,SOLOMON,1,1
NEWEL,NEWEL,0,1
ISORA,ISORA,0,2
INGA,INGA,0,2
JOANN,JOANN,0,2
MALINDY,MALINDY,0,2
CLAUDIE,CLAUDE,1,1
BENJMIN,BENJAMIN,1,1
ALVAN,ALVIN,1,1
IVORY,IVORY,0,1
WINFRED,WINIFRED,1,2
ANGELICA,ANGELICA,0,2
VICY,VICY,0,2
ALEXR,ALEXANDER,1,1
HENSON,HENSON,0,1
NATHANIAL,NATHANIAL,0,1
SENECA,SENECA,0,1
ADILINE,ADELINE,1,2
TACY,TACY,0,2
HALSEY,HALSEY,0,1
EULALIE,EULALIE,0,2
MYER,MYER,0,1
KATH,CATHERINE,1,2
CLARISY,CLARISY,0,2
EVALENA,EVALENA,0,2
WILLIM,WILLIAM,1,1
PASCHAL,PASCHAL,0,1
DORATHY,DOROTHY,1,2
CARROLINE,CARROLINE,0,2
CHRISTINIA,CHRISTINIA,0,2
CLAUDE,CLAUDE,0,2
ORIE,ORIE,0,2
OTELIA,OTELIA,0,2
THOMAS,THOMAS,0,2
ELLERY,ELLERY,0,1
LEGRAND,LEGRAND,0,1
TEMPE,TEMPERANCE,1,2
SINDA,SINDA,0,2
HENDRIK,HENDRIK,0,1
PHEOBA,PHOEBE,1,2
CRISTINE,CHRISTINE,1,2
MARRION,MARRION,0,2
SYLLA,SYLLA,0,2
TOMASA,TOMASA,0,2
NIC,NICHOLAS,1,1
IVERSON,IVERSON,0,1
MERIT,MERIT,0,1
Q,Q,0,1
MARGERETH,MARGERETH,0,2
ANANIAS,ANANIAS,0,1
VINSON,VINSON,0,1
EM,EMILY,1,2
ROSAMOND,ROSAMOND,0,2
BRAXTON,BRAXTON,0,1
PATTERSON,PATTERSON,0,1
DOVEY,DOVEY,0,2
LUCILLE,LUCILLE,0,2
AUSTON,AUSTIN,1,1
GEE,GEE,0,1
ARIE,ARIE,0,2
LENORE,LENORE,0,2
JOHM,JOHN,1,1
CRISTIAN,CHRISTIAN,1,1
BENGAMIN,BENJAMIN,1,1
BUDD,BUDD,0,1
GERARD,GERARD,0,1
MORRISON,MORRISON,0,1
ELIZAB,ELIZABETH,1,2
CHIN,CHIN,0,1
DORETHA,DORETHA,0,2
PEARLE,PEARLE,0,2
NAPOLIAN,NAPOLEON,1,1
ADEN,AIDAN,1,1
DIXON,DIXON,0,1
ELIS,ELIS,0,1
EPH,EPHRAIM,0,1
MARSH,MARSH,0,1
ARABELLE,ARABELLE,0,2
ELINA,ELINA,0,2
GEORGIANN,GEORGIANN,0,2
MARGURITE,MARGURITE,0,2
TERRESA,TERRESA,0,2
VELMA,VELMA,0,2
OSCER,OSCAR,1,1
AUGUSTINA,AUGUSTINA,0,2
THOMES,THOMAS,1,1
GREENBERRY,GREENBERRY,0,1
PERL,PEARL,1,2
ZOA,ZOA,0,2
GEROME,GEROME,0,1
OSBORNE,OSBORNE,0,1
PASCAL,PASCAL,0,1
JOSPHINE,JOSEPHINE,1,2
EMMILY,EMILY,0,2
GENIE,GENIE,0,2
WINONA,WINONA,0,2
NELIA,NELIA,0,2
STACY,STACY,0,2
WAREN,WARREN,1,1
FRIDRICH,FRIEDRICH,1,1
EULALIA,EULALIA,0,2
NICHOLS,NICHOLAS,1,1
LEONHARD,LEONHARD,0,1
LIGE,LIGE,0,1
METILDA,METILDA,0,2
CLARE,CLARE,0,1
NELSE,NELSE,0,1
JOHNIE,JOHANNA,1,2
ANGLINE,ANGELINE,1,2
FESTUS,FESTUS,0,1
JERRE,JERRE,0,1
EDWINA,EDWINA,0,2
NARCIS,NARCIS,0,2
ARMAND,ARMAND,0,1
HILLERY,HILLERY,0,1
HARRIAT,HARRIET,1,2
ALMENA,ALMENA,0,2
CORRY,CORRY,0,2
ALGERNON,ALGERNON,0,1
OLEY,OLEY,0,1
DASY,DAISY,1,2
CORDIE,CORDELIA,1,2
AGGY,AGGY,0,2
CLARICE,CLARICE,0,2
TOWNSEND,TOWNSEND,0,1
DELPHINA,DELPHINA,0,2
CAPITOLA,CAPITOLA,0,2
CHARLOTTIE,CHARLOTTIE,0,2
DELMER,DELMER,0,1
MAGY,MARGARET,1,2
CASANDER,CASSANDRA,1,2
DARCAS,DARCAS,0,2
DORETTA,DORETTA,0,2
GOLDIE,GOLDA,0,2
WELTHA,WELTHA,0,2
HOLMES,HOLMES,0,1
SALEM,SALEM,0,1
EVY,EVY,0,2
BUSTER,BUSTER,0,1
COLIN,COLIN,0,1
HAMMOND,HAMMOND,0,1
MAME,MAMMIE,1,2
ARRON,ARRON,0,1
KEE,KEE,0,1
LILEY,LILLIAN,1,2
GILLIE,GILLIE,0,2
MANA,MANA,0,2
MAREN,MAREN,0,2
PAMELA,PAMELA,0,2
CLABORN,CLAIBORNE,1,1
ELLE,ELLE,0,2
THEADOR,THEODORE,1,1
HERY,HERY,0,1
PRISSILLA,PRICILLA,1,2
ELENORE,ELEANOR,1,2
LOLLIE,LOLLIE,0,2
JETHRO,JETHRO,0,1
AGNAS,AGNAS,0,2
FLORENTINE,FLORENTINE,0,2
HILMA,HILMA,0,2
LUDWICK,LUDWICK,0,1
PELEG,PELEG,0,1
FREELOVE,FREELOVE,0,2
MILLIA,MILLIA,0,2
LONIE,LONIE,0,2
ROSEANN,ROSEANN,0,2
LINDLEY,LINDLEY,0,1
MITTY,MITTY,0,2
EMIT,EMIT,0,1
HARM,HARM,0,1
HEZAKIAH,HEZAKIAH,0,1
KATHERIN,CATHERINE,1,2
BEULA,BEULA,0,2
JENKINS,JENKINS,0,1
KATHARIN,CATHERINE,1,2
AMES,AMES,0,1
ORRA,ORRA,0,1
FRIEDERIKE,FRIEDERIKE,0,2
LURINDA,LURINDA,0,2
MERIAH,MERIAH,0,2
TILGHMAN,TILGHMAN,0,1
EDNER,EDNER,0,2
ELZINA,ELZINA,0,2
LULER,LULER,0,2
JOHNATHON,JONATHAN,1,1
ALVERDA,ALVERDA,0,2
DICIE,DICIE,0,2
ELROY,ELROY,0,1
EMMERSON,EMMERSON,0,1
PLINY,PLINY,0,1
WATT,WATT,0,1
ANTONIE,ANTONIE,0,2
RAY,RAY,0,2
GUILFORD,GUILFORD,0,1
HUMPHRY,HUMPHRY,0,1
ABBE,ABIGAIL,1,2
FERDENAND,FERDENAND,0,1
LANE,LANE,0,1
AMADA,AMANDA,1,2
LON,LON,0,2
PEETER,PETER,1,1
MICKEL,MICHAEL,1,1
CHRISTOFER,CHRISTOPHER,1,1
HANA,HANNAH,1,2
GEORGA,GEORGIA,1,2
CULLEN,CULLEN,0,1
MEREDITH,MEREDITH,0,1
REGINALD,REGINALD,0,1
OLINE,OLINE,0,2
BARRY,BARRY,0,1
BARTHOLEMEW,BARTHOLEMEW,0,1
UDORA,EUDORA,1,2
REBEKAH,REBECCA,1,2
CARLOTTA,CARLOTTA,0,2
EDDA,EDDA,0,2
VIRA,VIRA,0,2
ELIZABEATH,ELIZABETH,1,2
LUCIND,LUCIND,0,2
JESSY,JESSICA,1,2
ESSA,ESSA,0,2
MINE,MINE,0,2
MOURNING,MOURNING,0,2
MILAS,MILAS,0,1
SOREN,SOREN,0,1
WORTH,WORTH,0,1
OLLEY,OLIVE,1,2
ARMSTED,ARMSTED,0,1
THEOPHILE,THEOPHILE,0,1
LISABETH,ELIZABETH,1,2
GERALDINE,GERALDINE,0,2
LUSETTA,LUSETTA,0,2
MICAJAH,MICAIAH,1,1
WILLET,WILLET,0,1
EDNIE,EDNIE,0,2
FLORRA,FLORRA,0,2
MILLE,MILLE,0,2
PHILINDA,PHILINDA,0,2
ULYSUS,ULYSSES,1,1
CLARKSON,CLARKSON,0,1
WELTHY,WELTHY,0,2
BLAKE,BLAKE,0,1
LOYAL,LOYAL,0,1
SUSSAN,SUSAN,1,2
GABRIELLA,GABRIELLA,0,2
DANNEL,DANIEL,1,1
COMMODORE,COMMODORE,0,1
ORINDA,ORINDA,0,2
SIGMUND,SIGMUND,0,1
MARTHIE,MARTHA,1,2
LOVENIA,LOVENIA,0,2
VICENTE,VINCENT,1,1
CONCEPCION,CONCEPCION,0,2
LELAH,LELAH,0,2
BENGIMAN,BENGIMAN,0,1
ODILE,ODILE,0,2
SELA,SELA,0,2
VAL,VALENTIN,1,1
ALPHONZO,ALFONSO,1,1
AMANDUS,AMANDUS,0,1
CATHRAN,CATHERINE,1,2
DELANA,DELANA,0,2
AZARIAH,AZARIAH,0,1
BANKS,BANKS,0,1
MALON,MALON,0,1
WILLOUGHBY,WILLOUGHBY,0,1
DARTHULA,DARTHULA,0,2
FRONA,FRONA,0,2
BUFORD,BUFORD,0,1
LINWOOD,LINWOOD,0,1
MIDDLETON,MIDDLETON,0,1
AUSTEN,AUSTIN,1,1
SHIRLEY,SHIRLEY,0,1
CLORINDA,CLORINDA,0,2
KANSAS,KANSAS,0,2
ALEXANDRA,ALEXANDRA,0,1
AUGUSTUS,AUGUSTUS,0,2
ORRIE,ORRIE,0,2
BYRD,BYRD,0,1
DORY,DORY,0,2
LITTIE,LITTIE,0,2
MAGDELINE,MAGDALENA,0,2
ROBART,ROBERT,1,1
EWD,EDWARD,1,1
CLEMENTS,CLEMENTS,0,1
MOODY,MOODY,0,1
ANALIZA,ANALIZA,0,2
INGEBOR,INGEBOR,0,2
JEANIE,JEANIE,0,2
TENNESEE,TENNESEE,0,2
JACOP,JACOB,1,1
BENARD,BERNARD,1,1
EARNST,EARNST,0,1
ARIZONA,ARIZONA,0,2
SALMON,SOLOMON,1,1
JAMIE,JAMES,1,1
AMUS,AMUS,0,1
HOLLY,HOLLY,0,1
WALLIE,WALLACE,0,1
JIMMIE,JAMES,1,2
GEORGEAN,GEORGEAN,0,2
NINNIE,NINNIE,0,2
IGNACIO,IGNACIO,0,1
UPTON,UPTON,0,1
CHINA,CHINA,0,2
CLEMENTINA,CLEMENTINA,0,2
HERSCHEL,HERSHEL,1,1
BERNHART,BERNHART,0,1
WILLIAMSON,WILLIAMSON,0,1
ARMANDA,ARMANDA,0,2
LINTON,LINTON,0,1
STEPEN,STEPEN,0,1
ELISEBATH,ELIZABETH,1,2
CLARENCE,CLARENCE,0,2
CLEMENCE,CLEMENCE,0,2
LOUISANA,LOUISANA,0,2
LULAH,LULAH,0,2
TRESA,TRESA,0,2
MANUAL,MANUAL,0,1
KATHE,CATHERINE,1,2
CASS,CASSANDRA,1,2
ANASTATIA,ANASTASIA,1,2
DILSY,DILSY,0,2
LEW,LEW,0,2
SAVANNA,SAVANNA,0,2
NICHOLES,NICHOLAS,1,1
NATHL,NATHANIEL,1,1
HERRY,HENRY,1,1
EMET,EMMET,1,1
ALBERTO,ALBERTO,0,1
ARMSTRONG,ARMSTRONG,0,1
ZENO,ZENO,0,1
PHEBEE,PHOEBE,1,2
ALWINE,ALWINE,0,2
TINEY,TINEY,0,2
WILIE,WILLIAM,1,1
FRANCK,FRANK,1,1
ALVY,ALVY,0,1
COURTLAND,COURTLAND,0,1
WOODFORD,WOODFORD,0,1
ALISON,ALLISON,1,1
PEARLY,PEARLY,0,1
CLOA,CHLOE,1,2
FRANCINA,FRANCINA,0,2
JANNETTE,JANNETTE,0,2
KIZIAH,KIZIAH,0,2
LOUANNA,LOUANNA,0,2
MARETTA,MARETTA,0,2
MARIT,MARIT,0,2
SHADRACK,SHADRACH,1,1
FLORIAN,FLORIAN,0,1
ZACHARY,ZACHARY,0,1
CORIE,CORIE,0,2
ULISSES,ULYSSES,1,1
GROVE,GROVE,0,1
ICHABOD,ICHABOD,0,1
LAURIA,LAURIA,0,2
GEOGE,GEORGE,1,1
ALCIDE,ALCIDE,0,1
JILES,JILES,0,1
OVERTON,OVERTON,0,1
LADY,LADY,0,2
HARIOT,HARRIET,1,2
JEHU,JEHU,0,1
JEANNE,JEANNE,0,2
VILLA,VILLA,0,2
GABREL,GABRIEL,1,1
