fname_std,bni_std,N
ALDA,0.546210231151937,14
ALDAN,0.396333493971774,12
ALDEAN,0.727445667050074,63
ALDEEN,0.684203329196995,13
ALDEGE,0,19
ALDEN,0.19987534117038,2004
ALDENE,0.81249492544729,16
ALDER,0.436233418778896,31
ALDERIC,0,31
ALDERSON,0.419346727980343,11
ALDES,0.396333493971774,12
ALDIE,0.567677414719074,26
ALDIN,0.730330518460101,33
ALDINE,0.626382123141129,69
ALDINO,0,18
ALDIS,0.152936861264098,41
ALDO,0.0773785743419187,1568
ALDOLPH,0.590901038785712,12
ALDON,0.36903692421036,307
ALDOR,0,49
ALDORE,0.375714730462533,13
ALDRED,0.329941874456573,47
ALDRIC,0.804948330610183,22
ALDRICH,0.699186232794014,115
ALDRICK,0.928569219233816,14
ALDRIDGE,0.732093225608214,51
ALDRO,0.61610586575349,11
ALDUS,0.235075384716224,49
ALDWIN,0.889189604462345,38
ALDWYN,0.902774854158371,16
ALE,0.804948330610183,11
ALEE,0.860923164065995,13
ALEJANDRIN,0.546210231151937,49
ALEJANDRO,0.368189702240668,2250
ALEJO,0.415327374662722,201
ALEJOS,0,39
ALEKS,0,11
ALEKSANDAR,0,51
ALEKSANDER,0,244
ALEKSANDR,0,328
ALEKSANDRA,0,11
ALEKSANDRS,0,18
ALEKSAS,0,11
ALEKSEY,0,79
ALEKSY,0,12
ALERT,0.567677414719074,13
ALES,0.546210231151937,14
ALESANDRO,0.357135209581301,14
ALESIO,0.340306658160058,15
ALESSANDRO,0,198
ALESSIO,0,45
ALEXANDE,0.560336621481903,20
ALEXANDER,0.567872123904929,35739
ALEXANDR,0,34
ALEXANDRO,0.235075384716224,49
ALEXANDROS,0,80
ALEXANDRU,0,68
ALEXEI,0.385748783944129,25
ALEXEY,0,36
ALEXI,0.706514832391203,12
ALEXIE,0,12
ALEXIOS,0,13
ALEXIS,0.558171261517516,403
ALEXIUS,0,25
ALEXSANDER,0,19
ALEY,0,11
ALFIE,0.62499219304459,32
