fname,bni,name_freq
A JIM,0,2
A JOE,0,2
A JOHN,0,36
A JOSEPH,0,15
A JUDSON,0,2
A JULES,0,1
A JULIAN,0,3
A JULIUS,0,1
A JUNIOR,0,1
A KARL,0,1
A KAY,0,2
A KEITH,0,15
A KENNETH,0,20
A KENT,0,2
A KERMIT,0,1
A KIP,0,1
A KIRK,0,2
A KURTZ,0,1
A KYLE,0,6
A L BUD,0,1
A LAMAR,0,4
A LANDIS,0,1
A LARUE,0,1
A LATEN,0,1
A LATHAIR,0,1
A LAUGHTON,0,1
A LAURENCE,0,1
A LAVERN,0,1
A LAVERNE,0,3
A LAWRENCE,0,4
A LAWSON,0,1
A LAYLE,0,1
A LAYNE,0,1
A LEAVITT,0,1
A LECONTE,0,1
A LEDFORD,0,1
A LEE,0,27
A LEGRANDE,0,1
A LEHMAN,0,1
A LEO,0,7
A LEON,0,7
A LEONARD,0,8
A LEONIDAS,0,1
A LEROY,0,12
A LESLIE,0,2
A LESTER,0,5
A LEVAN,0,1
A LEWIS,0,5
A LINCOLN,0,6
A LINDEN,0,1
A LINDSEY,0,1
A LIONEL,0,1
A LISTON,0,1
A LLOYD,0,11
A LORANCE,0,1
A LORING,0,1
A LOUIS,0,9
A LOWELL,0,5
A LOWRIE,0,1
A LOYD,0,2
A LUCAS,0,1
A LUCIAN,0,1
A LUCIEN,0,1
A LYLE,0,3
A LYNCH,0,1
A LYNN,0,4
A LYNNE,0,1
A LYNWOOD,0,1
A M,0,2
A MABIS,0,1
A MAC,0,2
A MACK,0,2
A MACLEAN,0,1
A MADISON,0,1
A MALCOLM,0,5
A MANRIQUE,0,1
A MARCELLE,0,1
A MARCUS,0,1
A MARIO,0,1
A MARION,0,1
A MARK,0,3
A MARRIOTT,0,1
A MARSHALL,0,3
A MARTEL,1,1
A MARTIN,0,8
A MARVIN,0,3
A MASON,0,2
A MATTHEW,0,1
A MAURICE,0,3
A MAX,0,3
A MAXEY,0,1
A MAYNARD,0,2
A MCKAY,0,2
A MCKEE,0,1
A MCKINLEY,0,1
A MEADE,0,1
A MELVIN,0,7
A MERLE,0,1
A MERRIMAN,0,1
A MERVIN,0,1
A MICHAEL,0,5
A MILBY,0,1
A MILES,0,1
A MILFORD,0,1
A MILLARD,0,2
A MILTON,0,10
A MONROE,0,1
A MONTIE,0,1
A MORGAN,0,2
A MORRIS,0,3
A MORRISON,0,1
A MORTON,0,1
A MURL,0,1
A MURRAY,0,2
A MYRVIN,0,1
A N,0,1
A NATHAN,0,1
A NEAL,0,2
A NEIL,0,4
A NELSON,0.680277514240081,6
A NEWELL,0,3
A NEWTON,0,1
A NICHOLAS,0,2
A NICHOLS,0,1
A NOEL,0,3
A NORMAN,0,7
A NORTON,0,1
A NORVAL,0,1
A NOTTINGH,0,1
A OGBURN,0,1
A OLIVER,0,1
A OLLIE,0,1
A OMER,0,1
A ONIS,0,1
A ORELL,0,1
A OREN,0,1
A ORIEN,0,1
A ORIN,0,1
A ORIS,0,1
A OTHELLO,0,1
A OWEN,0,2
A PAGE,0,4
A PALMER,0,1
A PARK,0,1
A PAT,0,2
A PATRICK,0,1
A PATTERSO,0,1
A PAUL,0,24
A PENNIMAN,0,1
A PERRY,0,1
