fname,nickname_mpc,sex
RAMON,0,1
PHILENA,0,2
GIRTRUDE,1,2
SING,0,1
HARISON,1,1
NANIE,1,2
ALLISON,0,1
FREDRICKA,1,2
JOHANAH,0,2
ASBURY,0,1
PINK,0,2
ALTON,0,1
JONAH,0,1
ZELLA,0,2
ALMINA,0,2
LOISA,1,2
CELESTINE,0,2
EDNEY,0,2
ALPHONSE,0,1
ABERT,1,1
MAHALY,0,2
PEYTON,0,1
CATIE,1,2
MARGRETTE,1,2
CARRA,0,2
BENNY,1,1
AMASA,0,1
NORRIS,0,1
MATIE,1,2
SYNTHA,1,2
NELLEY,1,2
LARA,0,2
ROLLA,0,1
LISA,0,2
ELLIOT,1,1
LIDDA,0,2
AVERY,0,1
CAMILLA,0,2
CECIL,0,1
HANDY,0,1
BUTLER,0,1
OLGA,0,2
GLENN,0,1
PARALEE,0,2
LORENZ,0,1
BROWN,0,1
LAMBERT,0,1
JENS,0,1
LUCINDY,0,2
MIMA,0,2
JERAMIAH,1,1
ADELL,1,2
CLAUDIA,0,2
JARED,0,1
AUGUSTINE,0,1
CHRISTIANNA,0,2
MARIAM,0,2
MALISA,0,2
WILFRED,0,1
MAT,1,2
LUVENIA,0,2
AMAND,1,2
MINOR,0,1
JULIETTE,0,2
ALPHONSO,0,1
ANSEL,0,1
JOHN,0,2
ISOM,0,1
ISADORA,0,2
ADRIAN,0,1
PATTY,1,2
ISAM,0,1
OTHO,0,1
NAOMA,0,2
COLUMBIA,0,2
FANIE,1,2
MICHIEL,0,1
MARGERY,1,2
MADELINE,0,2
BARTHOLOMEW,0,1
RODNEY,0,1
CHRISTOPH,1,1
CINDA,0,2
ALLA,0,2
TOBE,1,1
DELPHINE,0,2
ERASMUS,0,1
OLIE,1,2
FAYETTE,1,1
EDD,0,1
INDIA,0,2
TOMMY,1,1
FORREST,0,1
MARTHEY,1,2
PERCILLA,1,2
LAURETTA,1,2
THEODOSIA,0,2
TILLA,0,2
ASHER,0,1
PETRA,0,2
JOANA,1,2
IONA,0,2
SENA,0,2
MAGDALINE,1,2
WALDO,0,1
LEANA,0,2
WILMER,0,1
TEMPERANCE,0,2
EMER,0,2
AUTHOR,0,1
HUBBARD,0,1
DELOS,0,1
FLEMING,0,1
ALBINA,0,2
GEORGANNA,1,2
KATHERINA,0,2
CELESTE,0,2
RACHIEL,1,2
FREDRICH,1,1
RHODY,0,2
HELLENA,0,2
VICTORA,1,2
EUPHEMIA,0,2
PENELOPE,0,2
TRACY,0,2
MAGARET,1,2
DONA,1,2
MARTEN,1,1
OLLIE,1,1
LU,0,2
ABSALOM,0,1
MADORA,0,2
ALEC,1,1
ALMOND,0,1
DOUGLASS,1,1
CHARLOT,1,2
ARAMINTA,0,2
ALF,1,1
JUSTUS,0,1
AUGUSTINE,0,2
FERNANDO,0,1
THERON,0,1
THADEUS,1,1
HORTENSE,0,2
CLARRISSA,1,2
ROENA,1,2
TENNIE,0,2
JOHNEY,1,1
PHINEAS,0,1
AVA,0,2
WEALTHY,0,2
BILLIE,1,1
TITUS,0,1
ALBION,0,1
ALABAMA,0,2
CORRIE,0,2
ARMSTEAD,0,1
ALAXANDER,1,1
DANA,0,1
IOLA,0,2
HARLAN,0,1
PETE,1,1
EVERET,1,1
CINTHIA,1,2
LEVIN,0,1
CALLY,1,2
CLORA,0,2
THRESA,1,2
ANIE,1,2
ALLIE,0,1
LUIZA,1,2
EARLY,0,1
WAYNE,0,1
LONA,0,2
CHARLE,1,1
RACHELL,1,2
CHRISTIE,0,2
BETSIE,1,2
ADALADE,1,2
NEWELL,0,1
VICTORY,0,2
GABE,1,1
CRISTINA,1,2
SILVY,1,2
LEA,1,2
ISABELA,1,2
BECCA,1,2
NETTY,1,2
MA,0,2
LUCAS,0,1
ESTELL,1,2
MINNY,1,2
DOMINICK,1,1
GRIFFIN,0,1
AUGUSTIN,1,1
HURBERT,1,1
DOC,0,1
DANNIEL,1,1
FRANCOIS,0,1
FLORRENCE,1,2
BABY,0,2
MELLIE,0,2
SARY,1,2
WONG,0,1
HUMPHREY,0,1
REESE,0,1
DE,0,1
BULAH,1,2
TERRY,1,1
GUSTAF,0,1
MANUELA,0,2
OCTAVE,0,1
ADELADE,1,2
HUDSON,0,1
BENEDICT,0,1
DARWIN,0,1
DELL,0,2
DAVY,1,1
FREMONT,0,1
FANEY,1,2
CORY,1,2
ASHLEY,0,1
PEARLY,0,2
RANDAL,1,1
ELOISE,0,2
HOWELL,0,1
EUDORA,0,2
BURRELL,0,1
HARRIOT,1,2
FERD,1,1
ROSETTE,0,2
CASPAR,1,1
JOAN,0,2
SWAN,0,1
CARALINE,1,2
MUNROE,1,1
MARYAN,1,2
LIZZE,1,2
LEM,1,1
SAUL,0,1
GEORGINA,0,2
GERHARD,0,1
PERLEY,1,1
MALCOLM,0,1
VIRGIE,1,2
ELLENOR,1,2
DARCUS,0,2
JERIMIAH,1,1
TILMAN,0,1
MAHALEY,0,2
ADELA,0,2
NICY,0,2
MALCOM,1,1
MARGUERITE,0,2
LONZO,0,1
JULIOUS,1,1
PRECILLA,1,2
PARTHENIA,0,2
ELVIN,1,1
ANGELA,0,2
OLIN,0,1
BULA,1,2
RUSH,0,1
MEDORA,1,2
EMILEY,1,2
HULDY,1,2
ZOE,0,2
SEABORN,0,1
SAVANAH,1,2
BRADLEY,0,1
SOLON,0,1
PABLO,0,1
BECKIE,1,2
ROSEANNA,0,2
WILLIAM,0,2
WILY,1,1
VINNIE,0,2
JABEZ,0,1
MARGRETH,1,2
LUVINA,1,2
LAURAH,1,2
CHALES,1,1
ALTHA,0,2
ARTIE,0,2
PRESLEY,0,1
METTIE,0,2
JOE,1,2
DOCIA,0,2
ISAAH,1,1
MERTON,0,1
WINNY,1,2
ALX,1,1
DELLIE,1,2
OBEDIAH,0,1
SAVILLA,0,2
ALEN,1,1
JENIE,1,2
ANTONETTE,1,2
EMMALINE,0,2
LAURIE,0,2
LEOLA,0,2
SABRINA,0,2
CATHRINA,0,2
ELSEY,1,2
FED,1,1
MURRAY,0,1
LITTLETON,0,1
WENZEL,0,1
JUSTINA,0,2
ELDRIDGE,0,1
SILLA,0,2
EBER,0,1
MARIETTE,0,2
ELIZER,1,2
CONSTANCE,0,2
JOHANNES,0,1
JEPTHA,0,1
EVANS,0,1
EMELIE,1,2
QUINCY,0,1
EDY,0,2
EDETH,1,2
BABY,0,1
GURTRUDE,1,2
CORNELIOUS,1,1
MAGDELENA,1,2
BARBERY,0,2
GOTLIEB,1,1
SCHUYLER,0,1
DICEY,1,2
YORK,0,1
PHILIS,1,2
JAN,0,1
HAGAR,0,2
SALENA,1,2
MILLA,0,2
SERAH,1,2
NIMROD,0,1
FINLEY,0,1
EARLE,1,1
DEAN,0,1
SARIAH,1,2
ELWIN,0,1
CLOE,1,2
JOSEPHIN,1,2
SIM,1,1
ELIZEBATH,1,2
WILLIARD,1,1
REED,0,1
MABELL,1,2
NANCIE,1,2
ANDERS,0,1
MAC,1,1
JOSEP,1,1
JAMES,0,2
NORMA,0,2
PUSS,0,2
AUGUSTE,0,1
BURR,0,1
PEGGIE,1,2
ORRA,1,2
SANDERS,0,1
DIANTHA,0,2
WINNIFRED,1,2
MINDA,0,2
THO,1,1
SINTHA,1,2
WILHEMINA,1,2
MALLIE,0,2
TALITHA,0,2
SADA,0,2
LOUSA,1,2
MOLLEY,1,2
BAILEY,0,1
MONTGOMERY,0,1
HANSON,0,1
GEORGIAN,0,2
AL,0,1
MINTIE,0,2
ASENATH,0,2
ELIGA,1,1
BECKEY,1,2
MIGUEL,0,1
JESSEE,1,2
ELAM,0,1
JANES,1,1
BERTON,1,1
GENEVIEVE,0,2
BERTRAM,0,1
CANDIS,1,2
ALLEN,0,2
ASBERRY,0,1
JORDON,0,1
ROWENA,0,2
SHELBY,0,1
IMOGENE,0,2
BESSY,1,2
NARCISSUS,0,2
RODY,0,2
BRYAN,0,1
SHARLOTT,1,2
ELIGAH,1,1
GERTRUD,1,2
AUGUSTA,0,1
CORNELUS,1,1
HENERETTA,1,2
EDMONIA,0,2
ANGALINE,1,2
OLLA,0,2
SOFA,0,2
CARSON,0,1
LINDSEY,0,1
DELIAH,0,2
MILFORD,0,1
ABLE,1,1
PARIS,0,1
OLOF,1,1
LARRY,1,1
HANORAH,1,2
AMBROS,1,1
EVERT,1,1
JARVIS,0,1
WINSTON,0,1
JULIAS,1,1
ROWLAND,0,1
CANDACE,0,2
MARYETTA,0,2
VICTORINE,0,2
PHILOMENA,0,2
RUDOLF,1,1
MARTINA,0,2
SALOMA,0,2
DEBORA,1,2
NEVADA,0,2
FIELDING,0,1
WELLS,0,1
LINNA,0,2
VERONICA,0,2
JENNE,1,2
KATEY,1,2
ELENA,0,2
VINY,0,2
BASIL,0,1
JAME,1,2
MENERVA,0,2
MELLISSA,1,2
SUSA,1,2
INFANT,0,1
WINNEY,1,2
DASIE,1,2
IDIA,0,2
LELAND,0,1
PALMER,0,1
ROXEY,1,2
ALOIS,1,1
RAFAEL,1,1
CLIDE,1,1
CAESAR,0,1
REASON,0,1
STUART,0,1
ZORA,0,2
AND,1,1
LOT,0,1
SOFIA,1,2
HARRITT,1,2
ANDRES,0,1
LOTTY,1,2
SOPHIAH,1,2
LORIN,1,1
HUSTON,1,1
COLLINS,1,1
ANNER,0,2
FRANCISKA,0,2
CATHREN,1,2
JOSSIE,1,2
CORAH,1,2
EVIE,0,2
LOUISIANA,0,2
FRANZISKA,0,2
CHANCEY,0,1
OLEVIA,1,2
DAISIE,1,2
GUADALUPE,0,2
BARTLEY,0,1
EVALINA,0,2
MINER,0,1
EMMELINE,0,2
ARENA,0,2
PERLINA,0,2
ELZA,0,2
MIKEL,0,1
KATHRINA,0,2
UNICE,1,2
WALACE,1,1
NOEL,0,1
THEOPHILUS,0,1
OLIVA,1,2
MADGE,0,2
STEWARD,1,1
HYRAM,1,1
ISA,0,2
LILIA,1,2
MARIANA,0,2
LOU,1,1
BARNY,1,1
BAXTER,0,1
HOLLIS,0,1
CAREY,0,1
AMILIA,1,2
ADALAIDE,1,2
VERGINIA,1,2
AMANDY,1,2
INGEBORG,0,2
JUANITA,0,2
LIZABETH,1,2
HEBER,0,1
KAREN,0,2
ALICK,0,1
BENSON,0,1
TERRENCE,0,1
MAUDIE,1,2
IDER,0,2
GEORGIA,0,1
RABECCA,1,2
JAMS,1,1
ELISIBETH,1,2
POWELL,0,1
FLORENCE,0,1
GLEN,0,1
SAMSON,0,1
ALTHEA,0,2
FORD,0,1
LEVINIA,1,2
HANNORA,1,2
CATO,0,1
MARGRETTA,0,2
ROBIN,0,1
SHELDON,0,1
JENNET,0,2
HARREY,1,1
HARDIN,1,1
MANLY,1,1
LAURANCE,1,1
VOLNEY,0,1
SELIA,1,2
MARCH,0,1
CAMPBELL,0,1
CLEMENS,0,1
ANNI,0,2
JOSEY,0,2
SAMMIE,1,1
CORINE,0,2
OSBORN,0,1
RUEBEN,1,1
JOSIE,1,1
IVER,1,1
SELENA,0,2
ELINOR,1,2
HUNTER,0,1
CHANY,1,2
WILBURN,0,1
LYNN,0,1
METTA,0,2
ERIC,0,1
ANNEY,1,2
DELA,0,2
TOBY,1,1
Y,0,1
DANIL,1,1
SHERIDAN,0,1
HENRY,1,2
PRIMUS,0,1
CLARRENCE,1,1
EUGENE,1,2
ALPHA,0,1
HYRUM,1,1
ANNIA,0,2
ELIDA,0,2
JOSEPHA,0,2
CELIE,1,2
WINSLOW,0,1
GASTON,0,1
ALZINA,0,2
AURILLA,0,2
NORTON,0,1
WHEELER,0,1
ELIE,1,1
LUTITIA,1,2
WESTLY,1,1
AXEL,0,1
ETHAN,0,1
DIANAH,1,2
LINDY,0,2
BENJAMEN,1,1
BENNET,0,1
WILLSON,1,1
DELLIA,1,2
JERMIAH,0,1
CON,0,1
BART,1,1
SANTIAGO,0,1
EMMIT,1,1
RICE,0,1
ALLEY,0,2
WILLAM,1,1
RAPHAEL,1,1
NATHEN,1,1
JOSAPHENE,1,2
PHELIX,1,1
ORREN,0,1
JOANNAH,1,2
OSWALD,0,1
GEORGEANA,0,2
BOOKER,0,1
SYBIL,0,2
ELLICK,0,1
LLEWELLYN,0,1
HAYES,0,1
KENNETH,0,1
LONDON,0,1
TRAVIS,0,1
MAHALIA,1,2
LUTICIA,1,2
EFFY,1,2
CLARRIE,0,2
ENNA,0,2
SHELTON,0,1
TILDEN,0,1
NILLIE,0,2
GOTTFRIED,0,1
CELY,1,2
BURTHA,1,2
BOSTON,0,1
MARGERT,1,2
GIRTIE,1,2
DORSEY,0,1
NEHEMIAH,0,1
RANSON,0,1
DELPHA,1,2
IRMA,0,2
ALFONSO,0,1
TERRESSA,1,2
MARGRAT,1,2
SAMMY,1,1
KESIAH,1,2
PHILLIPP,1,1
ETHA,0,2
GARLAND,0,1
WOODSON,0,1
ACHSAH,0,2
INFANT,0,2
SUSY,1,2
ADER,0,2
TOBITHA,0,2
JONNIE,1,1
PATERICK,1,1
ISAIH,1,1
TYLER,0,1
Z,0,2
LANEY,0,2
ISSABELLA,1,2
ROMAN,0,1
MARGARITA,0,2
NOLA,0,2
HARLOW,0,1
MAGNOLIA,0,2
ELIZIA,1,2
VENUS,0,2
DAYTON,0,1
HARRIT,1,2
DEWIT,1,1
CHUNG,0,1
LEOTA,0,2
ADEL,1,2
LOVEY,0,2
MIRTIE,1,2
MORITZ,0,1
STONEWALL,0,1
THEODOCIA,1,2
MATILDE,1,2
MARYETTE,0,2
SHARLOTTE,1,2
ROSCO,1,1
ELTON,0,1
ZACH,1,1
GOTLEIB,1,1
EVEN,1,1
ALMA,0,1
TAMER,1,2
FRANSIS,1,2
AVIS,0,2
NICOLAUS,1,1
ABIJAH,0,1
THAD,1,1
ETNA,0,2
CARROL,0,1
IVAN,0,1
OLAF,0,1
ULYSES,1,1
EDWORD,1,1
CALDONIA,1,2
ARA,0,2
MERRILL,0,1
CAIN,0,1
KIZZIE,1,2
CORINNE,1,2
CRIST,1,1
CARLES,1,1
JUSTINE,0,2
ALEXIS,0,1
RITA,0,2
TILLMAN,0,1
ESTA,0,2
HAMP,1,1
EWARD,1,1
ORILLA,0,2
STANTON,0,1
ADELLE,0,2
BRICE,0,1
FOUNTAIN,0,1
ALMEDIA,0,2
ARRENA,0,2
MADALINE,1,2
LYDDIA,1,2
JESS,1,1
KELLY,0,1
OLLY,1,2
SYNTHIA,1,2
EMERLINE,0,2
PARK,1,1
MARSHA,1,2
LUCRECIA,1,2
MORIS,1,1
OBED,1,1
ELICK,0,1
OMA,0,2
OLLIVER,1,1
RASMUS,1,1
MINGO,0,1
MISOURI,1,2
JULIETT,1,2
IGNATZ,0,1
RODERICK,0,1
DELPHIA,0,2
HEDWIG,0,2
THANKFUL,0,2
ANASTASIA,0,2
SEYMORE,1,1
AMMA,0,2
ISAH,0,1
SUSON,1,2
MINTY,1,2
GUSTUS,0,1
WYLIE,0,1
JENNETTA,0,2
JONATHON,1,1
ALBERTUS,0,1
OBADIAH,0,1
ANNETT,1,2
MILEY,0,2
SAMUELL,1,1
HAL,0,1
NEWMAN,0,1
AURTHER,1,1
MAGGA,1,2
POLINA,0,2
BURREL,0,1
PARMELIA,1,2
MELTON,1,1
DORCUS,1,2
MINNI,1,2
ROSALINE,0,2
TEXANNA,0,2
FREDRIKA,1,2
ALLY,0,2
MANNIE,0,2
VERNA,0,2
ARCHEY,1,1
ANDREA,0,2
RUTHERFORD,0,1
ELLENORA,1,2
ALIS,1,2
THEDORE,1,1
LUETTA,0,2
MEYER,0,1
ALVIS,0,1
LANDON,0,1
MARGARETE,0,2
PHILOMENE,0,2
ANDRUS,0,1
MARIANNA,0,2
THEODORA,0,2
ALBIN,0,1
CLARIE,0,2
NEVA,0,2
WILLI,1,1
LULY,1,2
JOHANNE,0,2
PEDER,0,1
LUSINDA,1,2
HANNER,0,2
LEN,1,1
RUTHY,1,2
DORIS,0,2
LUCIOUS,0,1
MARGARETA,0,2
NONA,0,2
EMMY,1,2
ALWILDA,0,2
MIMIE,0,2
BARNETT,0,1
ELSY,1,2
CILLA,0,2
ONA,0,2
BROOKS,0,1
VANCE,0,1
SAPHRONIA,0,2
JEAN,0,2
GREENE,0,1
VINIE,1,2
MINNEY,1,2
JOBE,1,1
BARTLETT,0,1
MARX,0,1
EDIE,0,1
INES,0,2
ADDY,0,2
JERE,1,1
MANERVIA,1,2
LENORD,1,1
CECILE,0,2
LIDIE,1,2
MAMY,1,2
LUISE,1,2
CAL,1,1
GILMAN,0,1
ORVIL,1,1
JINNY,1,2
ORLENA,0,2
LIZY,1,2
MART,1,1
ELONZO,1,1
HALVOR,0,1
POMPEY,0,1
FLOID,1,1
JENETT,0,2
HERRMAN,1,1
ENOCK,1,1
LORENZA,0,1
WALLIS,0,1
ALENA,0,2
MATT,0,2
FAY,0,1
CRISTENA,1,2
ROSANNAH,0,2
MARGRETHA,1,2
ARMINA,0,2
TEXAS,0,2
ANGELO,0,1
ISADORE,0,1
JON,1,1
MISSIE,1,2
PERSIS,0,2
TRESSA,0,2
MURRY,1,1
HARTWELL,0,1
LUTIE,0,2
VIRGINA,1,2
JANETT,1,2
LUCILLA,0,2
PAULA,0,2
AMON,0,1
GRAHAM,0,1
VALENTIN,0,1
LENNIE,0,2
WESTON,0,1
INGER,0,2
LINUS,0,1
ELIZABITH,1,2
BEDFORD,0,1
DORATHA,0,2
LOVISA,0,2
TELITHA,1,2
KIT,1,1
TILDY,1,2
LIDY,1,2
FELIPE,0,1
ARMILDA,0,2
BRUNO,0,1
LORING,0,1
DANEL,0,1
INDIANNA,0,2
BAKER,0,1
HETTA,1,2
FENTON,0,1
LUMAN,0,1
PINKEY,1,2
LABAN,0,1
TERENCE,0,1
JERY,1,1
GREGORY,0,1
MELISA,1,2
ADELAID,1,2
CASWELL,0,1
EDMAN,0,1
ORAN,0,1
SAPHRONA,0,2
DANUEL,1,1
HALL,0,1
HARPER,0,1
LOWELL,0,1
JOSE,1,2
HILL,0,1
REBBECCA,1,2
IGNATIUS,0,1
SHARLOT,1,2
CLARE,0,2
GEORGEANN,0,2
CELINDA,0,2
DUANE,0,1
AMELIE,0,2
ROSANAH,0,2
ISACC,1,1
JUDIE,1,2
SEWARD,0,1
GINNIE,1,2
LEMON,0,1
JULIANN,0,2
BERTHE,0,2
OLLIVE,1,2
SILUS,1,1
WHITFIELD,0,1
CLARAH,0,2
MATTA,0,2
ELZA,0,1
SAHRA,1,2
JAMIMA,1,2
MARKS,0,1
BERNHARDT,0,1
GIBSON,0,1
CLARRISA,0,2
DAVIE,1,1
AN,1,2
BIDDY,1,2
LACY,0,2
ARTIE,1,1
NIELS,0,1
ELEANORA,0,2
LARRA,0,2
COOPER,0,1
ELMO,0,1
LE,0,1
LEVENIA,1,2
MARINA,0,2
CHANDLER,0,1
JOAB,0,1
LIZZIA,1,2
EADY,1,2
GRIFFITH,0,1
GEMIMA,1,2
DORTHA,0,2
GEORGANA,0,2
LULIA,0,2
IONE,0,2
ROSILLA,0,2
ZEBULON,0,1
HAGER,1,2
BINA,0,2
SAMIEL,1,1
ROSIA,0,2
ARDELLA,0,2
ELLWOOD,1,1
IRVINE,0,1
LANY,1,2
DELINA,0,2
AGUST,1,1
JANEY,1,2
DAWSON,0,1
HAYS,0,1
LEAR,0,2
MEDA,0,2
HENRITTA,1,2
NEILL,1,1
STILLMAN,0,1
LONNIE,1,1
WINEFRED,1,2
LOVINIA,1,2
ARDELIA,0,2
MARTHE,0,2
GEROGE,1,1
MEHITABLE,0,2
WILHELMENA,1,2
HARRIOTT,1,2
NICEY,0,2
DRURY,0,1
OLENA,0,2
ZULA,0,2
DILLA,0,2
ALVENA,0,2
ZILLA,0,2
CEASAR,1,1
MATILDIA,0,2
TEXANA,0,2
CEPHAS,0,1
TRACY,0,1
ALONSO,0,1
ADIA,0,2
ROBINSON,0,1
EUGEN,1,1
CHRISTENIA,0,2
IRA,0,2
OMAR,0,1
CASSA,1,2
RETTIE,0,2
HEMAN,0,1
LAZARUS,0,1
GRANVILL,1,1
JUSTICE,0,1
NEOMA,0,2
ELSE,0,2
ELANOR,1,2
AMALIE,0,2
PERCIVAL,0,1
MARQUIS,0,1
CAREY,1,2
OTTILIE,0,2
CHESLEY,0,1
ELEXANDER,1,1
LURENA,0,2
MILLS,0,1
EMNA,0,2
JULA,0,2
JAC,1,1
MARGARITE,1,2
CLARACY,0,2
WILLIA,1,1
ALDA,0,2
ANGELIA,0,2
LON,1,1
MAGDALEN,1,2
FRENCH,0,1
EMOGENE,1,2
ROSINE,0,2
LEWELLA,0,2
GERTY,1,2
LOUVINA,0,2
MERRIT,1,1
ODELIA,0,2
HENRI,0,1
EMALY,1,2
MICHIAL,0,1
COMFORT,0,2
CLAIBORNE,0,1
CREED,0,1
ORION,0,1
BIRTIE,0,2
ALMER,0,1
DESSIE,0,2
ULA,0,2
MICHAIL,0,1
SEMANTHA,1,2
JOSEPH,1,2
TERRANCE,1,1
MARY,0,1
ORVILL,1,1
DEMPSEY,0,1
LULLA,0,2
UNA,0,2
GRACEY,0,2
CAMELIA,0,2
ERMINA,0,2
JULE,1,1
HARDEN,0,1
FREDA,0,2
ALEXANDRE,1,1
LEW,1,1
MARLIN,0,1
CLARIA,0,2
PENNIE,1,2
FELICIA,0,2
CONSTANTINE,0,1
KIRK,0,1
MARGARETHE,0,2
VENA,0,2
VIOLETTA,0,2
SAMEL,1,1
JOSEF,0,1
ELLIS,0,2
GENNIE,0,2
REFUGIA,0,2
DILLARD,0,1
POLK,0,1
MINEY,1,2
LOVE,0,2
ANDRE,0,1
MANSON,0,1
MANIE,0,2
SADDIE,1,2
DOLLEY,1,2
CATTIE,1,2
LOUI,1,1
ARTEMUS,0,1
KATHY,1,2
JESSEY,1,2
ELIZABET,1,2
LEUIS,1,1
ARTHOR,1,1
BERTRAND,0,1
MALACHI,0,1
FLOY,0,2
DREW,0,1
RUFFIN,0,1
SUDIE,0,2
HERM,1,1
XAVIER,0,1
SILVEY,1,2
NAPOLEAN,1,1
FREDY,1,1
EMRY,1,1
ANTHONEY,1,1
EVILINE,1,2
BURWELL,0,1
RINA,0,2
EDDA,0,1
GUSSIE,0,1
HATTA,0,2
ARMENIA,0,2
TAMAR,1,2
MARRIA,1,2
BESSEY,1,2
AURORA,0,2
LA,0,1
SARILDA,0,2
PAYTON,0,1
ELMOR,1,1
BURTIE,0,1
NELIE,1,2
MANERVY,1,2
MARILDA,0,2
ROLLAND,1,1
DELL,0,1
ISACK,1,1
SARENA,1,2
KATTY,1,2
LINDSAY,1,1
ALSON,0,1
CADDIE,0,2
HERMINA,0,2
COLLIN,1,1
VERA,0,2
EVVA,1,2
MINNIA,0,2
JHON,1,1
ALFONZO,0,1
FRIDA,1,2
LESSIE,0,2
BLUFORD,0,1
MAXWELL,0,1
PAULENA,1,2
ALICIA,0,2
KARI,0,2
TEMPIE,1,2
RAMONA,0,2
MARGREAT,1,2
DORINDA,0,2
PERY,1,1
JULEY,1,2
HATIE,1,2
SHADE,1,1
BARNET,0,1
ELMA,0,1
HOPE,0,2
JULLIA,1,2
THOMS,1,1
RITTA,0,2
MAGDALINA,1,2
HENNIE,1,2
DEE,0,1
PHILA,1,2
CHAPMAN,0,1
MARAGRET,1,2
ALVERTA,0,2
KEZIA,0,2
SUSIN,1,2
JENETTA,0,2
HESEKIAH,1,1
ENNIS,0,1
GARY,0,1
LUANNA,0,2
HERRMANN,1,1
LESLEY,0,1
ERNSTINE,1,2
ELIZTH,1,2
AMIEL,0,1
MAGNUS,0,1
PAGE,0,1
SAFRONA,0,2
ALCY,0,2
LANORA,0,2
LOUVENIA,1,2
ELA,1,2
ELIZAR,0,2
OCTAVA,1,2
LUVINIA,0,2
ZENAS,0,1
CINDY,1,2
CLARRY,0,2
EMILE,0,2
FRIEDERICH,1,1
EMIEL,1,1
KNUT,0,1
COURTNEY,0,2
NEILS,1,1
DOLPHUS,0,1
PHOEBY,1,2
FRANKY,1,2
EMOLINE,0,2
U,0,2
EVERLINE,0,2
GRACIA,0,2
SISSIE,1,2
CATHERAN,1,2
JOANAH,0,2
WILLE,1,1
CALEDONIA,0,2
EWING,0,1
ZACARIAH,0,1
UNIS,1,2
ELIZE,1,2
LEONTINE,0,2
AMMON,0,1
ELLENA,1,2
TEMPA,1,2
CASSY,1,2
AUGUSTAS,1,1
PARLEY,0,1
STACY,0,1
FREDONIA,0,2
CELA,0,2
ELDA,0,2
MALINA,0,2
RINDA,0,2
WEBB,1,1
BALLARD,0,1
RUEL,0,1
ELIZZA,1,2
OSKAR,1,1
DEBBY,1,2
ULYSSUS,1,1
FINIS,0,1
ADELINA,0,2
MANSFIELD,0,1
CHRISTAIN,1,1
GERALD,0,1
DONNA,0,2
ALINE,0,2
MIRON,1,1
HORRIS,1,1
LYDIE,1,2
BERTHIE,0,2
DUKE,0,1
WINFRED,1,1
RALF,1,1
BURL,0,1
ELLISON,0,1
JOSEPHEN,1,2
CRIS,1,1
GUNDER,0,1
HUE,1,1
JEFFREY,0,1
MAGGE,1,2
ALCINDA,0,2
LUGENIA,0,2
DUDLY,1,1
ACY,0,1
LUM,0,1
MARIANNE,0,2
RILY,1,1
FILMORE,0,1
DIXIE,0,2
SALIE,0,2
SALINDA,0,2
PROSPER,0,1
EMILA,0,2
LUCINDIA,0,2
AMEL,0,1
TOLBERT,0,1
MANY,0,2
SAREPTA,0,2
KNUD,0,1
NERO,0,1
RODGER,1,1
HARLAND,0,1
PLEAS,0,1
WINTHROP,0,1
LOUESIA,1,2
DORATHEA,0,2
DOW,0,1
ALMYRA,0,2
ANITA,0,2
ARABELL,0,2
OTTIS,0,1
MARI,0,2
THRESSA,1,2
IZORA,0,2
SUZAN,1,2
STANLY,1,1
UGENE,1,1
CH,1,1
PINCKNEY,0,1
TROY,0,1
WELDON,0,1
GERGE,1,1
ESAU,0,1
SANDFORD,0,1
SCOT,0,1
JENNA,0,2
SYRUS,1,1
ADOLPHE,0,1
DOSIA,0,2
MARTA,0,2
FREMAN,1,1
WALLER,0,1
CHRISTENE,0,2
SUSSIE,1,2
ARY,0,2
JESUSA,0,2
IRINE,1,2
ATTIE,0,2
ESSEX,0,1
JULIEN,0,1
LINSEY,0,1
AQUILLA,0,1
CLAIR,0,1
FRANCIES,0,2
GOTTLEIB,0,1
OLA,0,1
STANISLAUS,0,1
ALETHA,0,2
JESSA,1,1
HARROLD,0,1
HYMAN,0,1
ROSAN,1,2
BABARA,1,2
DORETHEA,0,2
JEANNIE,0,2
SAMEUL,1,1
SHEPHERD,0,1
VALERIA,0,2
MATH,1,1
ISIDORE,0,1
MAYNARD,0,1
WINNEFRED,1,2
DARA,0,2
CORNELIAS,0,1
LARAH,0,2
BENJAMON,1,1
ELEAZER,0,1
GILFORD,0,1
FILLIS,1,2
DEBBIE,1,2
AILSEY,0,2
TINY,0,2
BUDDIE,0,1
CLARICY,0,2
RUBIE,1,2
MAMMIE,0,2
VIENNA,0,2
THIMOTHY,1,1
HAM,0,1
ASAHEL,0,1
PLEASANT,0,2
ROSSA,0,2
ELIZAH,0,1
DOMINGO,0,1
ULRICH,0,1
PHILL,1,1
FREDERIK,0,1
WILTON,0,1
HERVEY,0,1
MANFORD,0,1
SCIPIO,0,1
JUDIA,0,2
CLINT,0,1
WM,1,2
MARGETT,1,2
JOACHIM,1,1
HORTON,0,1
HANNORAH,1,2
BENJA,1,1
ELMYRA,0,2
RICKA,0,2
HEN,1,1
CRISTOPHER,1,1
MAGRET,1,2
SYDNEY,0,2
LUTHUR,1,1
JOHNSTON,0,1
CENA,0,2
LURETTA,0,2
LYDDA,0,2
WHIT,0,1
FRANCISCO,0,2
MIRTLE,0,2
SWEN,1,1
ROMEO,0,1
CHARLES,0,2
ENDORA,0,2
HIRUM,1,1
