fname,nickname_mpc,sex
CYNTHIA,0,2
EARNEST,0,1
MELISSA,0,2
SUSANNA,0,2
SADIE,0,2
DAISY,0,2
ALVIN,0,1
FREDDIE,1,1
I,0,1
HOMER,0,1
KATY,1,2
ANDERSON,0,1
EDMOND,0,1
SYLVESTER,0,1
LUELLA,0,2
MAHALA,0,2
CORDELIA,0,2
GRANT,0,1
MIKE,1,1
ELISHA,0,1
AUSTIN,0,1
ASA,0,1
WILLARD,0,1
CHRISTINE,0,2
WALLACE,0,1
ALMIRA,0,2
ELSIE,0,2
EUNICE,0,2
JONATHAN,0,1
IRENE,0,2
ELMIRA,0,2
LEROY,0,1
GREEN,0,1
ETHEL,0,2
MILES,0,1
NELLY,0,2
CLARK,0,1
B,0,2
MATTHEW,0,1
MARGRETT,1,2
FELIX,0,1
ROSANNA,0,2
WINNIE,1,2
DAN,1,1
FERDINAND,0,1
CLINTON,0,1
ALLIE,0,2
LINA,0,2
EMANUEL,0,1
ESTER,0,2
REBECA,1,2
ABBY,1,2
LIZA,1,2
NORMAN,0,1
BETTY,0,2
KITTIE,0,2
GUY,0,1
MANDA,1,2
MARGERET,1,2
WILLIE,1,2
GRACIE,1,2
VICTOR,0,1
LEAH,0,2
LAVINA,0,2
PHOEBE,0,2
ROSETTA,0,2
MARION,0,2
MILLY,0,2
ADELIA,0,2
HETTIE,0,2
WILEY,0,1
MONROE,0,1
HELENA,0,2
WILL,1,1
ELISA,1,2
EMIL,0,1
COLUMBUS,0,1
MICHEAL,0,1
MARCUS,0,1
SOPHIE,0,2
EZRA,0,1
ETTIE,0,2
PEARL,0,2
CHESTER,0,1
SHERMAN,0,1
CAROLINA,0,2
JEFF,1,1
CARRY,0,2
FRITZ,0,1
CHRIST,1,1
ENOCH,0,1
LIBBIE,0,2
MAUDE,0,2
LUCRETIA,0,2
MELVINA,0,2
JONAS,0,1
JESSEE,0,1
LORENZO,0,1
KATHARINE,0,2
ABNER,0,1
ELBERT,0,1
ARCHIE,0,1
RUDOLPH,0,1
JOSE,0,1
MATHIAS,0,1
MALISSA,0,2
PAULINA,0,2
MANUEL,0,1
BARNEY,0,1
LYMAN,0,1
KATHERINE,0,2
LEMUEL,0,1
HANAH,0,2
MANDY,1,2
FLORANCE,0,2
JEROME,0,1
ISABELL,1,2
LEON,0,1
MELVIN,0,1
MINNA,0,2
HANS,0,1
SCOTT,0,1
ROY,0,1
HANNA,1,2
BLANCH,1,2
MYRTLE,0,2
LEANDER,0,1
CHARLY,1,1
AGNESS,1,2
D,0,2
BYRON,0,1
PAT,1,1
BELLA,0,2
WILHELMINA,0,2
LUKE,0,1
LETTIE,0,2
DANL,1,1
MARSHALL,0,1
CLARANCE,1,1
ELLIS,0,1
MARRY,1,2
BERTIE,0,1
ADDA,0,2
EVELINE,0,2
HULDA,0,2
SAMANTHA,0,2
HARIET,1,2
LILY,1,2
P,0,2
ARTHER,1,1
ORA,0,2
VALENTINE,0,1
ANDY,1,1
MELINDA,0,2
CLARISSA,0,2
AMBROSE,0,1
AMERICA,0,2
GEORG,1,1
EUGENIA,0,2
CALEB,0,1
GEORGIE,0,2
SETH,0,1
JUAN,0,1
MICHEL,1,1
KITTY,1,2
DOLLY,0,2
EARL,0,1
SMITH,0,1
GUSTAVE,0,1
OLLIE,0,2
FLOYD,0,1
JOSEPHENE,1,2
DICK,1,1
BOB,1,1
KATTIE,1,2
OTIS,0,1
LIDA,0,2
MACK,0,1
TERESA,1,2
ELEANOR,0,2
GUSTAV,0,1
CALLIE,0,2
SIMEON,0,1
ISABELLE,1,2
ERNST,1,1
NED,0,1
PRESTON,0,1
CHARLOTT,1,2
ELISEBETH,1,2
SPENCER,0,1
EASTER,0,2
MABLE,1,2
FRANCES,1,1
CLARRA,1,2
TILLIE,1,2
EMALINE,0,2
LILLA,0,2
LEONA,0,2
MYRA,0,2
RENA,0,2
EPHRAIM,0,1
MARIETTA,0,2
EMILIE,1,2
MILDRED,0,2
MORGAN,0,1
LAVINIA,0,2
CURTIS,0,1
EVERETT,0,1
IRVIN,0,1
MOLLY,1,2
PRISCILLA,0,2
ALFORD,0,1
MAX,0,1
RILEY,0,1
MARTHY,1,2
RUBEN,1,1
EVALINE,0,2
ISRAEL,0,1
LESTER,0,1
CHRISTIANA,0,2
G,0,2
HARVY,1,1
GERTIE,1,2
ROSIE,1,2
ELLIE,0,2
GEORGIANA,1,2
MANERVA,0,2
MISSOURI,0,2
ISAIAH,0,1
MADISON,0,1
SUE,1,2
T,0,2
ABIGAIL,0,2
LEO,1,1
CHARLS,1,1
SUSANNAH,1,2
JULIE,0,2
SUSANA,1,2
CHRISTENA,1,2
WASH,1,1
ARCHIBALD,0,1
LENORA,0,2
LOTTA,0,2
SYLVIA,0,2
DEBORAH,0,2
ELEN,1,2
FREDK,1,1
LAFAYETTE,0,1
CLIFFORD,0,1
BURTON,0,1
LUCIUS,0,1
TAYLOR,0,1
CASPER,0,1
JAY,0,1
EMILINE,0,2
WADE,0,1
MARIAN,0,2
OLIVIA,0,2
MENA,0,2
BERTIE,0,2
SANFORD,0,1
PATSY,0,2
CATHARINA,0,2
WINFIELD,0,1
RAYMOND,0,1
VIOLET,0,2
GUS,1,1
W,0,2
NINA,0,2
EDDY,0,1
PERMELIA,0,2
CLAUDE,0,1
DAVE,1,1
MINIE,1,2
NORAH,1,2
MYRON,0,1
JAKE,0,1
LIDIA,1,2
CATHERIN,1,2
BARBRA,1,2
BARBARY,0,2
LINDA,0,2
MAGDALENA,0,2
STEVEN,0,1
THEADORE,1,1
EDA,0,2
ADELBERT,0,1
JEMIMA,0,2
CECELIA,0,2
ADLINE,1,2
DELILA,1,2
HARMON,0,1
WILBER,0,1
MAURICE,0,1
JOHNSON,0,1
MARGT,1,2
CHRIS,1,1
LOIS,0,2
CLYDE,0,1
WILHELM,0,1
LOUIZA,1,2
JUDY,1,2
ALVA,0,1
ADELAIDE,0,2
LOVINA,0,2
LORA,0,2
SANDY,0,1
SARRAH,1,2
ANTONIO,0,1
IRVING,0,1
ALMEDA,0,2
LELA,0,2
I,0,2
LELIA,0,2
EMERY,0,1
ABE,1,1
HARRIS,0,1
ERASTUS,0,1
LESLIE,0,1
ROBBERT,1,1
JOHNNIE,1,1
BILL,1,1
LIZZY,1,2
SARA,1,2
SOPHRONIA,0,2
LOLA,0,2
EFFA,1,2
CLAYTON,0,1
JUDSON,0,1
V,0,2
HENDERSON,0,1
DAVIS,0,1
ROSINA,0,2
OPHELIA,0,2
VINA,0,2
RUSSELL,0,1
HENERY,1,1
ESTELLE,0,2
ADDISON,0,1
LAURENCE,1,1
FREEMAN,0,1
VINCENT,0,1
BERRY,1,1
ELNORA,1,2
JIMMIE,1,1
CLAUD,1,1
ADOLPHUS,0,1
CATHARIN,1,2
JOHNIE,1,1
VIRGIL,0,1
ALACE,0,2
MAJOR,0,1
GABRIEL,0,1
JOHANA,1,2
BIRDIE,0,2
PLEASANT,0,1
EMA,1,2
LIZIE,1,2
LILIAN,1,2
ALTA,0,2
LORETTA,0,2
AGUSTA,1,2
HULDAH,0,2
HERMANN,1,1
FRANKIE,0,1
RICHD,1,1
EDWD,1,1
RAY,1,1
PERCY,0,1
HENRIETTE,0,2
MATHILDA,1,2
INA,0,2
FREDRIC,1,1
WILBUR,0,1
ROSANA,1,2
CYNTHA,1,2
BENJAMINE,1,1
SUSANAH,0,2
JORDAN,0,1
ISAC,1,1
INEZ,0,2
JOHANNAH,0,2
SOLOMAN,1,1
JOSAPHINE,1,2
CATH,1,2
MILLARD,0,1
MICHAL,1,1
HAMILTON,0,1
ROSS,0,1
ENOS,0,1
FRANZ,0,1
CLEMENT,0,1
ORLANDO,0,1
PEGGY,1,2
PATIENCE,0,2
JESSE,1,2
DINAH,0,2
NELS,0,1
ROSELLA,0,2
NANCEY,1,2
PHILLIS,1,2
EVE,0,2
NAPOLEON,0,1
JULIAN,0,1
WALKER,0,1
DENIS,0,1
SALINA,0,2
MARSHAL,1,1
EDW,1,1
JANIE,1,2
HUBERT,0,1
LEVINA,0,2
ARNOLD,0,1
EMMET,1,1
CASSIE,1,2
ANGIE,0,2
LINCOLN,0,1
DELILAH,0,2
MYRTIE,0,2
ELECTA,0,2
HONORA,0,2
URIAH,0,1
JASON,0,1
DOCK,0,1
MARVIN,0,1
AGGIE,1,2
GIDEON,0,1
TILDA,0,2
EVAN,0,1
MAGIE,0,2
DORCAS,0,2
EMELY,1,2
EMLY,1,2
JOHNATHAN,1,1
MARGARETTE,0,2
CARLINE,1,2
SQUIRE,0,1
MAREY,1,2
DIANA,0,2
REGINA,0,2
V,0,1
MALVINA,0,2
LYDA,0,2
IRENA,0,2
MARGARETH,0,2
MILO,0,1
GEORGE,0,2
ABEL,0,1
THEO,1,1
BURT,0,1
ANSON,0,1
TABITHA,0,2
ALVINA,0,2
JULY,0,2
RANSOM,0,1
LILA,0,2
FRANCISCO,0,1
BRIDGETT,1,2
ORRIN,0,1
IVA,0,2
ANTONIA,0,2
GRANVILLE,0,1
MAT,1,1
JUDITH,0,2
FRANKIE,0,2
ROSALIE,0,2
CLARINDA,0,2
BENJAMAN,1,1
WILLY,1,1
HORATIO,0,1
MARGET,1,2
RODA,1,2
LOUSIA,0,2
ELMA,0,2
ELVA,0,2
O,0,2
GEORGIANNA,0,2
NICK,1,1
ANTONY,1,1
PRINCE,0,1
ORVILLE,0,1
ANTONE,0,1
CLEMENTINE,0,2
LUDWIG,0,1
K,0,2
MITTIE,0,2
OCTAVIA,0,2
ALLIS,1,2
PRUDENCE,0,2
FLETCHER,0,1
LUCIA,0,2
BRUCE,0,1
EMELIA,0,2
SOPHA,1,2
CECILIA,0,2
LETITIA,0,2
HENRETTA,1,2
WILHELMINE,0,2
LEONORA,0,2
ERVIN,0,1
DUNCAN,0,1
DOLLIE,0,2
EMILE,0,1
EZEKIEL,0,1
HARIETT,1,2
JINNIE,0,2
ALBERTA,0,2
JOB,0,1
GILES,0,1
FRANCISCA,0,2
MARTH,1,2
PORTER,0,1
JUNE,0,2
MIRA,0,2
ABIGAL,1,2
JOHNY,1,1
ORIN,0,1
MERTIE,0,2
CHLOE,0,2
MERCY,0,2
ELIZ,1,2
DUDLEY,0,1
JOHNNY,1,1
ISHAM,0,1
LURA,0,2
LLOYD,0,1
ROYAL,0,1
ANNY,1,2
HARY,1,1
HEINRICH,0,1
ALVIRA,0,2
ELENOR,1,2
LEOPOLD,0,1
LORENA,0,2
FREDERICA,1,2
HANORA,1,2
LUISA,1,2
MASON,0,1
EMORY,0,1
STEWART,0,1
PATSEY,1,2
EBENEZER,0,1
BERNHARD,0,1
WATSON,0,1
EMILIA,0,2
DOUGLAS,0,1
BENNIE,0,1
BERT,0,1
NAOMI,0,2
LENARD,1,1
DAISEY,1,2
TENNESSEE,0,2
ADELLA,0,2
JO,1,1
MC,1,1
DWIGHT,0,1
GUSSIE,0,2
TONY,1,1
MATT,1,1
ANNETTE,0,2
TRUMAN,0,1
MIRANDA,0,2
ROLAND,0,1
PHIL,1,1
ELWOOD,0,1
AUG,1,1
MARG,1,2
ROBERTA,0,2
ARON,1,1
CLIFTON,0,1
LOUELLA,1,2
REBECKA,1,2
SYDNEY,0,1
LIZZA,1,2
ADELE,0,2
GRACY,1,2
MAGGY,1,2
LARS,0,1
MOSE,0,1
ELISE,1,2
LIDDIE,1,2
CHS,1,1
SIDNEY,0,2
CLAY,0,1
MARINDA,0,2
CATHERN,1,2
CLARISA,1,2
ORPHA,0,2
TURNER,0,1
RANDOLPH,0,1
JUANA,0,2
VAN,0,1
RUSSEL,1,1
HARDY,0,1
RUBIN,1,1
RUBY,0,2
MARGARETHA,1,2
KATHARINA,1,2
MARANDA,1,2
MARGARETTA,0,2
HARLEY,0,1
TOBIAS,0,1
SELINA,1,2
K,0,1
GUSTAVUS,0,1
JESUS,0,1
HUGO,0,1
DEWITT,0,1
AGUSTUS,1,1
FRANK,0,2
EBEN,0,1
ALECK,1,1
BECKY,1,2
Z,0,1
CARY,1,2
LOUESA,1,2
ORA,0,1
ROSEY,1,2
JOHANN,0,1
ZACHARIAH,0,1
RACHEAL,1,2
RICH,1,1
ANA,1,2
ANGELINA,0,2
GEORGIE,1,1
THERESIA,1,2
FREDERICKA,1,2
ELMORE,0,1
JOHAN,0,1
EMMETT,0,1
NARCISSA,0,2
PEDRO,0,1
ELLSWORTH,0,1
SAMPSON,0,1
AMIE,1,2
CARIE,1,2
KING,0,1
PATTIE,1,2
AUTHER,0,1
CHARLOTTA,0,2
HETTY,1,2
CARA,0,2
BENJIMAN,1,1
STANLEY,0,1
LUCIE,1,2
BEATRICE,0,2
LAWSON,0,1
DELBERT,0,1
WEBSTER,0,1
HAMPTON,0,1
MITCHELL,0,1
FREDIE,1,1
LOUIE,1,1
SERENA,0,2
WARD,0,1
AUGUSTE,0,2
ARMINDA,0,2
IKE,1,1
WILLIAN,1,1
HARMAN,0,1
TENA,1,2
ROSY,1,2
SABINA,0,2
HALLIE,0,2
MARYANN,0,2
ANTOINE,0,1
MILLEY,1,2
BILLY,1,1
ARABELLA,0,2
BEULAH,0,2
LANA,0,2
JENNETTE,0,2
NAT,1,1
HARRIE,1,1
CINTHA,0,2
PINKNEY,0,1
ELIJA,0,1
ROGER,0,1
HENY,1,1
JOSEPHUS,0,1
DOROTHEA,0,2
ELENORA,0,2
GARRETT,0,1
DINA,0,2
FOSTER,0,1
FOREST,0,1
ARCH,1,1
PATK,1,1
HARRIETTE,1,2
TIM,1,1
FANNEY,1,2
JEAN,0,1
ELVINA,0,2
RACHAL,1,2
BUD,0,1
EPHRAM,0,1
DORAH,0,2
MORTON,0,1
EUGENIE,0,2
RICHMOND,0,1
EMMER,0,2
